Record Type,School,Charter Yes/No,Public Yes/No,Street City,Street Zip,
School,Youth Care - Pine Ridge Academy,N,N,Draper,84020-9541,
School,Legacy Christian School at Crossroads Church,N,N,Auburn,95603-3603,
School,Dry Creek Connections Academy,N,Y,Roseville,95747-4990,
School,Loomis Gateway Academy,N,N,Loomis,95650-8606,
School,Sierra Foothills Academy,N,N,Loomis,95650-8801,
School,Colfax High,N,Y,Colfax,95713-9556,
School,Confluence Continuation High,N,Y,Foresthill,96361-9229,
School,Del Oro High,N,Y,Loomis,95650-9502,
School,Foresthill High,N,Y,Foresthill,95631-9229,
School,Global SchoolsONE,N,N,Auburn,95603-3689,
School,Maidu Virtual Charter Academy,Y,Y,Foresthill,95631-9229,
School,Pine Hills Adventist Academy,N,N,Auburn,95603-9071,
School,Placer High,N,Y,Auburn,95603-5115,
School,Schooltoolz,N,N,Auburn,95602-9150,
School,Weimar Academy,N,N,Weimar,95736,
School,Catherine Dior School,N,N,Monterey,93940-3052,
School,Rocklin Alternative Education Center,N,Y,Rocklin,95765-4992,
School,Rocklin High,N,Y,Rocklin,95765-4988,
School,ROCKLIN INTERNATIONAL SCHOOLS,N,N,Woodland,95695-3758,
School,Victory High,N,Y,Rocklin,95765-4992,
School,Western Sierra Collegiate Academy,Y,Y,Rocklin,95765-3713,
School,Whitney High,N,Y,Rocklin,95765-5469,
School,Academy of the Light,N,N,Roseville,95678-3943,
School,Adelante High (Continuation),N,Y,Roseville,95678-1849,
School,Antelope High,N,Y,Antelope,95843-6037,
School,Gates of Learning Center,N,N,Roseville,95678-6311,
School,Granite Bay High,N,Y,Granite Bay,95746-7194,
School,Independence High (Alternative),N,Y,Roseville,95678-1310,
School,John Adams Academy - Roseville,Y,Y,Roseville,95678-5423,
School,New Pacific School - Roseville,Y,Y,Roseville,95678-3132,
School,Oakmont High,N,Y,Roseville,95661-5520,
School,Roseville High,N,Y,Roseville,95678-1706,
School,West Park High,N,Y,Roseville,95747,
School,Woodcreek High,N,Y,Roseville,95747-6074,
School,Cold Stream Alternative,N,Y,Truckee,96161-4953,
School,ISchool,N,N,Kings Beach,96143,
School,Lake Tahoe Preparatory School,N,N,Olympic Valley,96146,
School,North Tahoe High,N,Y,Tahoe City,96145-5099,
School,Sierra High (Continuation),N,Y,Truckee,96161-4953,
School,Sugar Bowl Academy,N,N,Norden,95724,
School,Tahoe Truckee High,N,Y,Truckee,96161-4954,
School,ATLAS Learning Academy,N,Y,Lincoln,95648-1757,
School,Horizon Charter,Y,Y,Lincoln,95648-1757,
School,John Adams Academy - Lincoln,Y,Y,Lincoln,95648,
School,Lincoln High,N,Y,Lincoln,95648-1614,
School,Phoenix High (Continuation),N,Y,Lincoln,95648-1757,
School,Twelve Bridges High,N,Y,Lincoln,95648,
School,Almanor High (Continuation),N,Y,Chester,96020-0797,
School,Beckwourth (Jim) High (Continuation),N,Y,Portola,96122-9543,
School,Chester Junior/Senior High,N,Y,Chester,96020-0797,
School,Greenville Junior/Senior High,N,Y,Greenville,95947-9630,
School,Lake Almanor Christian School,N,N,Lake Almanor,96137,
School,Plumas Charter,Y,Y,Quincy,95971-9678,
School,Plumas Christian School,N,N,Quincy,95971-9122,
School,Portola Junior/Senior High,N,Y,Portola,96122-9543,
School,Quincy Junior/Senior High,N,Y,Quincy,95971-9112,
School,St. Andrew's Academy,N,N,Chester,96020,
School,Alvord Alternative Continuation High,N,Y,Riverside,92505-1308,
School,Alvord Continuation High,N,Y,Riverside,92503-4925,
School,"Bright Futures Academy, Riverside",N,N,Riverside,92503-3518,
School,Hillcrest High,N,Y,Riverside,92503-5172,
School,La Sierra Academy,N,N,Riverside,92505-3225,
School,La Sierra High,N,Y,Riverside,92505-2938,
School,Norte Vista High,N,Y,Riverside,92503-1102,
School,Banning High,N,Y,Banning,92220-4922,
School,Banning Independent Study,N,Y,Banning,92220-5529,
School,Calvary Christian School,N,N,Banning,92220-1141,
School,New Horizon High,N,Y,Banning,92220-4378,
School,21st Century Learning Institute,N,Y,Beaumont,92223-1927,
School,Beaumont Middle College High,N,Y,Banning,92220-3736,
School,Beaumont Senior High,N,Y,Beaumont,92223-4484,
School,Glen View High,N,Y,Beaumont,92223-1927,
School,Mission Vista Academy,Y,Y,Beaumont,92223-6820,
School,Coachella Valley High,N,Y,Thermal,92274-9367,
School,Desert Mirage High,N,Y,Thermal,92274,
School,La Familia Continuation High,N,Y,Thermal,92274,
School,NOVA Academy - Coachella,Y,Y,Coachella,92236-7319,
School,West Shores High,N,Y,Salton City,92275,
School,Academy of Innovation,N,Y,Norco,92860-2643,
School,Allegiant Christian School,N,N,Riverside,92506-3234,
School,Applied Scholastics Online Academy,N,N,Lake Mathews,92570-9499,
School,Ayars Academy,N,N,Corona,92881-4251,
School,Bridgeway academy,N,N,Eastvale `,92880-3119,
School,CEAC COLLEGE PREPARATORY SCHOOL,N,N,Corona,92881,
School,Centennial High,N,Y,Corona,92881-3228,
School,Christian Heritage School Inc,N,N,Corona,92882-6529,
School,Corona High,N,Y,Corona,92882-3901,
School,Corona Vista High,N,Y,Corona,92882-3901,
School,Corona-Norco Alternative,N,Y,Corona,92879-3329,
School,Eleanor Roosevelt High,N,Y,Eastvale,92880-9750,
School,Grace and Glory Academy,N,N,Corona,92883-0675,
School,Grace Christian School,N,N,Corona,92882-5875,
School,John F. Kennedy High,N,Y,Norco,92860-2643,
School,Kuumba Village Homeschool,N,N,Information Redacted,Information Redacted,
School,Lee V. Pollard High,N,Y,Corona,92879-3329,
School,Mount Carmel Academy,N,N,Corona,92879-7791,
School,Norco High,N,Y,Norco,92860-2726,
School,Orange Grove High,N,Y,Corona,92882-1937,
School,Regina Caeli Academy,N,N,Eastvale,92880-8828,
School,Santiago High,N,Y,Corona,92881-0996,
School,Amistad High (Continuation),N,Y,Indio,92201-3325,
School,Desert Christian,N,N,La Quinta,92253-2071,
School,Desert Christian Academy,N,N,Bermuda Dunes,92203-8122,
School,Doves Landing School,N,N,Palm Desert,92260-9305,
School,Gastelum,N,N,Information Redacted,Information Redacted,
School,Head2Heart Scholars,N,N,Palm Desert,92211-4136,
School,Horizon,N,Y,La Quinta,92253-8170,
School,Indio High,N,Y,Indio,92201-3911,
School,La Quinta High,N,Y,La Quinta,92253-4244,
School,Palm Desert High,N,Y,Palm Desert,92260-5639,
School,Shadow Hills High,N,Y,Indio,92201-9482,
School,Summit High (Continuation),N,Y,La Quinta,92253-8170,
School,Academy of Innovation,N,Y,Hemet,92543-7293,
School,Academy of Innovation K-8,N,Y,Hemet,92543-7293,
School,Alessandro High,N,Y,Hemet,92543-3052,
School,Coachella Valley Arts Institute,N,N,Palm Desert,92211-1967,
School,Genesis Christian School,N,N,Hemet,92544-9334,
School,Hamilton,N,Y,Anza,92539-9289,
School,Hemet High,N,Y,Hemet,92544-7518,
School,Idyllwild Arts Academy,N,N,Idyllwild,92549,
School,Mustard Seed Academy,N,N,Information Redacted,Information Redacted,
School,One Agape Christian Academy,N,N,Wildomar,92595-4901,
School,Promises School K-12,N,N,Hemet,92545-3513,
School,Tahquitz High,N,Y,Hemet,92545-6224,
School,TREE OF KNOWLEDGE,N,N,Perris,92570-7812,
School,West Valley High,N,Y,Hemet,92545-9257,
School,Western Center Academy,Y,Y,Hemet,92543-9706,
School,Wheeler Edu,N,N,Hemet,92545-8041,
School,Jurupa Valley High,N,Y,Jurupa Valley,91752-1800,
School,Nueva Vista Continuation High,N,Y,Jurupa Valley,92509-1301,
School,Patriot High,N,Y,Jurupa Valley,92509-3455,
School,Rubidoux High,N,Y,Jurupa Valley,92509-7251,
School,Bundy Canyon Christian School,N,N,Wildomar,92595-8818,
School,California Lutheran High School,N,N,Wildomar,92595-9709,
School,Cornerstone Christian,N,N,Wildomar,92595-8035,
School,Elsinore High,N,Y,Wildomar,92595-9181,
School,Expectations Academy,N,N,Lake Elsinore,92530-1491,
School,Grace Christian School,N,N,Wildomer,92595,
School,Hope Learning Academy,N,N,Canyon Lake,92587-9485,
School,Keith McCarthy Academy,N,Y,Lake Elsinore,92530-2711,
School,Lakeside High,N,Y,Lake Elsinore,92530-7802,
School,Libereco,N,N,Lake Elsinore,92532-2515,
School,Ortega High,N,Y,Lake Elsinore,92530-1230,
School,Temescal Canyon High,N,Y,Lake Elsinore,92532-1912,
School,Aiga Academy,N,N,Information Redacted,Information Redacted,
School,Faith and Freedom,N,N,Menifee,92584-1302,
School,Revival Christian Academy,N,N,Menifee,92584-8432,
School,Santa Rosa Academy,Y,Y,Menifee,92584-8376,
School,Calvary Chapel Christian,N,N,Moreno Valley,92555-6606,
School,Canyon Springs High,N,Y,Moreno Valley,92557-3801,
School,Cornerstone Fellowship Academy,N,N,Moreno Valley,92557-7637,
School,Country Day School,N,N,Moreno Valley,92557-5128,
School,March Mountain High,N,Y,Moreno Valley,92553-3745,
School,Monarch Christian Academy,N,N,Moreno Valley,92555-2464,
School,Moreno Valley High,N,Y,Moreno Valley,92553-3437,
School,Moreno Valley Online Academy,N,Y,Moreno Valley,92553-3945,
School,Valley View High,N,Y,Moreno Valley,92555-4504,
School,Vista del Lago High,N,Y,Moreno Valley,92551-1460,
School,Calvary Murrieta Christian Academy,N,N,Murrieta,92562-9506,
School,Calvary Murrieta Christian School,N,N,Murrieta,92562-9506,
School,Emerson Royce Academy,N,N,Murrieta,92563-5563,
School,Holy Martyrs Academy,N,N,Temecula,92590-3600,
School,International Preparatory Academy,N,N,Murrieta,92563-3814,
School,Kadesh Academy,N,N,Nuevo,92567-9524,
School,Liberty Classical Academy,N,N,Murrieta,92562-4481,
School,Murrieta Canyon Academy,N,Y,Murrieta,92563-9461,
School,Murrieta Mesa High,N,Y,Murrieta,92562-9018,
School,Murrieta Options Academy,N,Y,Murrieta,92562-9461,
School,Murrieta Valley High,N,Y,Murrieta,92562-6235,
School,Oak Grove Center / Jack Weaver,N,N,Murrieta,92562-7285,
School,Sierra Springs Christian,N,N,Murrieta,92562-3813,
School,Vista Murrieta High,N,Y,Murrieta,92563-2465,
School,Anderlyn Academy,N,N,Information Redacted,Information Redacted,
School,Grace Preparatory School,N,N,Perris,92570-6830,
School,Nuview Bridge Early College High,Y,Y,Nuevo,92567-9361,
School,Cathedral City High,N,Y,Cathedral City,92234-4713,
School,Desert Chapel Christian,N,N,Palm Springs,92264-7876,
School,Desert Hot Springs High,N,Y,Desert Hot Springs,92240-3000,
School,Desert Learning Academy,N,Y,Palm Springs,92264-7917,
School,Koalified Learners,N,N,Desert Hot Springs,92240-3102,
School,Mt. San Jacinto High,N,Y,Cathedral City,92234-5159,
School,Palm Springs High,N,Y,Palm Springs,92262-7217,
School,Palm Valley School,N,N,Rancho Mirage,92270-1822,
School,Parents Choice,N,N,Information Redacted,Information Redacted,
School,Rancho Mirage High,N,Y,Rancho Mirage,92270-2702,
School,Xavier College Preparatory High School,N,N,Palm Desert,92211-1620,
School,Palo Verde High,N,Y,Blythe,92225-1136,
School,Scale Leadership Academy - East,Y,Y,Chino,91710-9509,
School,Twin Palms Continuation,N,Y,Blythe,92225-1118,
School,California Military Institute,Y,Y,Perris,92570-1958,
School,Chaparral Valley Private School,N,N,Riverside,92504-5905,
School,Heritage High,N,Y,Romoland,92585-3230,
School,IMMANUEL HOUSE INSTITUTE OF HIGHER LEARNING,N,N,Moreno Valley,92557-6702,
School,Liberty High,N,Y,Winchester,92596,
School,Oak Grove at the Ranch,N,N,Perris,92570-1911,
School,On Track School,N,N,Menifee,92584-8417,
School,Paloma Valley High,N,Y,Menifee,92584-9368,
School,Perris High,N,Y,Perris,92571-2910,
School,Perris Lake High (Continuation),N,Y,Perris,92570-4544,
School,Scholar Plus Online Learning,N,Y,Perris,92570-4544,
School,Audeo Valley Charter,Y,Y,Moreno Valley,92555-4544,
School,Excelsior Charter School Corona-Norco,Y,Y,Corona,92879-2525,
School,Gateway College and Career Academy,Y,Y,Riverside,92506-1201,
School,JCS - Pine Hills,Y,Y,Temecula,92592-2319,
School,Pivot Charter School Riverside,Y,Y,Corona,92878-5839,
School,River Springs Charter,Y,Y,Temecula,92590-2698,
School,Abraham Lincoln Continuation,N,Y,Riverside,92507-5009,
School,Arlington High,N,Y,Riverside,92503-5732,
School,eLearningacademy.com,N,N,Riverside,92507-5841,
School,John W. North High,N,Y,Riverside,92507-3404,
School,Martin Luther King Jr. High,N,Y,Riverside,92508-9459,
School,Mia's Kids Academy,N,N,Information Redacted,Information Redacted,
School,Notre Dame High School,N,N,Riverside,92506-2613,
School,Polytechnic High,N,Y,Riverside,92506-3362,
School,Raincross High (Continuation),N,Y,Riverside,92506-4424,
School,Ramona High,N,Y,Riverside,92504-3627,
School,Riverside STEM Academy,N,Y,Riverside,92507-4864,
School,Riverside Virtual,N,Y,Riverside,92501-3810,
School,Somerset,N,N,Riverside,92504-5942,
School,Summit View Independent Study,N,Y,Riverside,92506-4413,
School,Woodcrest Christian School,N,N,Riverside,92508-9282,
School,Hillside Innovation Academy,N,Y,Menifee,92585-9767,
School,Alpha Omega Christian,N,N,San Jacinto,92583-5313,
School,D.S. Homeschool Academy,N,N,Information Redacted,Information Redacted,
School,Edward Hyatt World Language Academy,N,Y,San Jacinto,92583-4724,
School,LOL (Lots of Learning) Academy,N,N,San Jacinto,92583-6504,
School,Mountain Heights Academy,N,Y,San Jacinto,92582-2552,
School,Mountain View High,N,Y,San Jacinto,92582-2576,
School,Noli Indian School,N,N,San Jacinto,92581,
School,San Jacinto High,N,Y,San Jacinto,92583-2615,
School,San Jacinto Leadership Academy - Magnet,N,Y,San Jacinto,92583-2369,
School,San Jacinto Technology Institute,N,Y,San Jacinto,92583-2319,
School,San Jacinto Valley Academy,Y,Y,San Jacinto,92583-2729,
School,Big Springs School Temecula,N,N,Temecula,92590-5626,
School,Chaparral High,N,Y,Temecula,92591-7348,
School,Great Oak High,N,Y,Temecula,92592-1283,
School,Home INstead INnovation Academy,N,Y,"Winchester, Ca",92596,
School,Linfield Christian School,N,N,Temecula,92592-3500,
School,Rancho Vista High,N,Y,Temecula,92592-6200,
School,Susan H. Nelson,N,Y,Temecula,92592-2772,
School,Temecula Preparatory,Y,Y,Winchester,92596-8450,
School,Temecula Valley High,N,Y,Temecula,92592-3516,
School,The University of America High School,N,N,Temecula,92590-4867,
School,Vineyard Country School,N,N,Temecula,92591-5036,
School,California Ranch School,N,N,Perris,92570-9344,
School,Citrus Hill High,N,Y,Perris,92570-9486,
School,Orange Vista High,N,Y,Perris,92571-3789,
School,Rancho Verde High,N,Y,Moreno Valley,92551-6300,
School,Val Verde Academy,N,Y,Moreno Valley,92551-1120,
School,Val Verde High,N,Y,Perris,92571-3103,
School,Center High,N,Y,Antelope,95843-9111,
School,McClellan High (Continuation),N,Y,Antelope,95843-9116,
School,American Christian Academy - Ext,N,N,Wilton,95693-9740,
School,Bradshaw Christian School,N,N,Sacramento,95829-9255,
School,Calvine High,N,Y,Sacramento,95828-6178,
School,Cosumnes Oaks High,N,Y,Elk Grove,95757,
School,Daylor (William) High (Continuation),N,Y,Sacramento,95823-3226,
School,Elk Grove Charter,Y,Y,Elk Grove,95757-4309,
School,Elk Grove High,N,Y,Elk Grove,95624-2549,
School,Florin High,N,Y,Sacramento,95828-5404,
School,Franklin High,N,Y,Elk Grove,95757-5928,
School,Heidelberg Christian Academy,N,N,Sacramento,95817-2907,
School,Hosanna Christian Academy,N,N,Elk Grove,95758-4006,
School,Jerusalem Arise Christian Academy,N,N,Elk Grove,95757-3454,
School,King's Academy,N,N,Elk Grove,95624-2042,
School,Laguna Creek High,N,Y,Elk Grove,95758-5859,
School,Las Flores High (Alternative),N,Y,Sacramento,95823-4607,
School,Monterey Trail High,N,Y,Elk Grove,95624-3467,
School,Mountain Valley School - Bar Du,N,N,Sacramento,95829-9469,
School,Mountain Valley School - Gerber,N,N,Sacramento,95829-1130,
School,Pleasant Grove High,N,Y,Elk Grove,95624-1440,
School,Rio Cazadero High (Continuation),N,Y,Sacramento,95823-4897,
School,SAVA - Sacramento Academic and Vocational Academy - EGUSD,Y,Y,Elk Grove,95758-6473,
School,Sheldon High,N,Y,Sacramento,95829-6085,
School,Valley High,N,Y,Sacramento,95823-5637,
School,Wilson Academy Online,N,N,Elk Grove,95624-1421,
School,Wilton Christian,N,N,Wilton,95693-9731,
School,Aubins Christian Education,N,N,Information Redacted,Information Redacted,
School,Capitol Academy,N,N,Rancho Cordova,95670-6129,
School,Cordova High,N,Y,Rancho Cordova,95670-2039,
School,Folsom High,N,Y,Folsom,95630-3053,
School,Folsom Lake High,N,Y,Folsom,95630-7801,
School,IHS Christian School,N,N,Orangevale,95662-2609,
School,Innovations Academy,N,Y,Rancho Cordova,95670,
School,Kinney High (Continuation),N,Y,Rancho Cordova,95670-6104,
School,Old School Home School,N,N,Rancho Cordova,95670-2562,
School,Vista del Lago High,N,Y,Folsom,95630-8335,
School,Walnutwood High (Independent Study),N,Y,Rancho Cordova,95670-5102,
School,Mayflower Academy,N,N,Galt,95632-1726,
School,Estrellita Continuation High,N,Y,Galt,95632-1717,
School,Galt High,N,Y,Galt,95632-1720,
School,Liberty Ranch High,N,Y,Galt,95632-8422,
School,Discovery High,N,Y,Sacramento,95834-1797,
School,Inderkum High,N,Y,Sacramento,95835-2238,
School,Leroy Greene Academy,Y,Y,Sacramento,95833-3767,
School,LionHeart Academy,N,N,Sacramento,95838-4801,
School,Natomas Charter,Y,Y,Sacramento,95835-1250,
School,Natomas High,N,Y,Sacramento,95834-1719,
School,Natomas Pacific Pathways Prep,Y,Y,Sacramento,95834-9606,
School,Shawna Huston,N,N,Sacramento,95833-2632,
School,Westlake Charter,Y,Y,Sacramento,95835,
School,Delta High,N,Y,Clarksburg,95612-0100,
School,Mokelumne High (Continuation),N,Y,Courtland,95615-0574,
School,Rio Vista High,N,Y,Rio Vista,94571-1939,
School,River Delta High/Elementary (Alternative),N,Y,Rio Vista,95615-1941,
School,Marconi Learning Academy,Y,Y,Sacramento,95821-4808,
School,Paseo Grande Charter,Y,Y,Sacramento,95838-1633,
School,American Legion High (Continuation),N,Y,Sacramento,95817-3399,
School,Arthur A. Benjamin Health Professions High,N,Y,Sacramento,95818-2806,
School,C. K. McClatchy High,N,Y,Sacramento,95818-4349,
School,Calvary Christian,N,N,Sacramento,95824-3948,
School,Capital Christian School,N,N,Sacramento,95827-2612,
School,Capital City Independent Study,N,Y,Sacramento,95823-4978,
School,Capital Innovations Academy,N,N,Sacramento,95815-4310,
School,Christian Brothers High School,N,N,Sacramento,95820-2727,
School,Cristo Rey High School,N,N,Sacramento,95826-3910,
School,George Washington Carver School of Arts and Science,Y,Y,Sacramento,95827-3007,
School,Hiram W. Johnson High,N,Y,Sacramento,95820-3431,
School,John F. Kennedy High,N,Y,Sacramento,95831-2008,
School,Kadiant LLC - Land Park Campus,N,N,Sacramento,95820-1048,
School,Kit Carson International Academy,N,Y,Sacramento,95819-4126,
School,Luther Burbank High,N,Y,Sacramento,95823-1767,
School,MVP Diamond Academy,N,N,Sacramento,95824-1011,
School,New Technology High,Y,Y,Sacramento,95822-3437,
School,Northern California Preparatory,N,N,Sacramento,95824-3230,
School,"Point Quest Education, Inc.",N,N,Sacramento,95826,
School,Rosemont High,N,Y,Sacramento,95827-3817,
School,Sacramento Charter High,Y,Y,Sacramento,95820-1211,
School,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Y,Y,Sacramento,95820-6757,
School,School of Engineering & Sciences,N,Y,Sacramento,95831-4580,
School,Sierra School of Sacramento,N,N,Sacramento,95827-3380,
School,St. Francis Catholic High School,N,N,Sacramento,95819-4341,
School,The MET,Y,Y,Sacramento,95818-1330,
School,West Campus,N,Y,Sacramento,95820-5610,
School,"Yattiyr ISEE Christian School, Inc.",N,N,Mather,95655-2903,
School,Fortune,Y,Y,Sacramento,95823-2395,
School,Academy of Private Classic Education,N,N,Citrus Heights,95621-2842,
School,Aldar Academy,N,N,Sacramento,95821-3306,
School,Almondale Academy,N,N,Orangevale,95662-3913,
School,Aspire Alexander Twilight Secondary Academy,Y,Y,Sacramento,95821-5611,
School,Bella Vista High,N,Y,Fair Oaks,95628-3823,
School,Casa Roble Fundamental High,N,Y,Orangevale,95662-2730,
School,Cornerstone Academy,N,N,Citrus Heights,95610-5740,
School,Del Campo High,N,Y,Fair Oaks,95628-4402,
School,El Camino Fundamental High,N,Y,Sacramento,95821-6702,
School,El Sereno Alternative Education,N,Y,Fair Oaks,95628-7213,
School,Encina Preparatory High,N,Y,Sacramento,95825-2303,
School,Freedom Christian,N,N,Fair Oaks,95628-4836,
School,Gabriele Academy International,N,N,Truckee,96161-4848,
School,Grace Family Christian School,N,N,Citrus Heights,95621,
School,Jackson Family School,N,N,Information Redacted,Information Redacted,
School,Jesuit High School,N,N,Carmichael,95608-6024,
School,La Entrada Continuation High,N,Y,Sacramento,95841-2703,
School,Meraki High,N,Y,Fair Oaks,95628-7213,
School,Mesa Verde High,N,Y,Citrus Heights,95621-2000,
School,Mira Loma High,N,Y,Sacramento,95821-2825,
School,Options for Youth-San Juan,Y,Y,Carmichael,95608-1300,
School,Pacific High School,N,N,Sacramento,95841-3315,
School,Rio Americano High,N,Y,Sacramento,95864-6104,
School,Sacramento Adventist Academy,N,N,Carmichael,95608-1212,
School,Sacramento Country Day School,N,N,Sacramento,95864-7105,
School,Sacramento Waldorf School,N,N,Fair Oaks,95628-6803,
School,San Juan Choices Charter,Y,Y,Sacramento,95864-0881,
School,San Juan High,N,Y,Citrus Heights,95610-5614,
School,Serenity' Stars,N,N,Sacramento,95864-3812,
School,Sierra School at Marconi,N,N,Sacramento,95821-3940,
School,Valley Christian Academy,N,N,Citrus Heights,95621,
School,Victory Christian,N,N,Carmichael,95608-3607,
School,Visions In Education,Y,Y,Carmichael,95608-4650,
School,California Innovative Career Academy,Y,Y,Sacramento,95838-3654,
School,Chesterton Academy of Sacramento,N,N,North Highlands,95660-3934,
School,Christian Family School,N,N,Rio Linda,95673-4620,
School,Community Collaborative Charter,Y,Y,McClellan,95652-2424,
School,Community Outreach Academy,Y,Y,McClellan,95652-2439,
School,Cornerstone Christian School,N,N,Sacramento,95842-2663,
School,Creative Connections Arts Academy,Y,Y,North Highlands,95660-2809,
School,Foothill High,N,Y,Sacramento,95842-2815,
School,Futures High,Y,Y,Sacramento,95838-2348,
School,Grant Union High,N,Y,Sacramento,95838-3624,
School,Heritage Peak Charter,Y,Y,Rio Linda,95673-3430,
School,Higher Learning Academy,Y,Y,Sacramento,95838-2348,
School,Highlands Community Charter,Y,Y,Sacramento,95838-3654,
School,Highlands High,N,Y,North Highlands,95660-3911,
School,Keema School for Independent Study,N,Y,Sacramento,95838-3661,
School,Paced student learning,N,N,Sacramento,95841-3719,
School,Pacific Career and Technology High,N,Y,North Highlands,95660-4375,
School,Rio Linda High,N,Y,Rio Linda,95673-4412,
School,Sacramento Baptist School,N,N,North Highlands,95660-2603,
School,Sacramento Christian School,N,N,Sacramento,95673-3619,
School,SAVA - Sacramento Academic and Vocational Academy,Y,Y,Sacramento,95834-2931,
School,Vista Nueva Career and Technology High,N,Y,Sacramento,95838-3129,
School,Anzar High,N,Y,San Juan Buatista,95045-9558,
School,"Branson Academy, Inc.",N,N,Aromas,95004-9759,
School,Calvary Christian,N,N,Hollister,95023-5922,
School,Hollister High,N,Y,Hollister,95023-4708,
School,San Andreas Continuation High,N,Y,Hollister,95023-4043,
School,Adelanto Virtual Academy,N,Y,Victorville,92394-7802,
School,Bright Futures Academy - Adelanto,N,N,Adelanto,92301-1708,
School,Taber Academy,N,N,Information Redacted,Information Redacted,
School,Taylion High Desert Academy/Adelanto,Y,Y,Adelanto,92301-1948,
School,A to Z Homeschool Academy,N,N,Information Redacted,Information Redacted,
School,Academy for Academic Excellence,Y,Y,Apple Valley,92307-2181,
School,Apple Valley Christian Academy,N,N,Apple Valley,92307-2554,
School,Apple Valley High,N,Y,Apple Valley,92308-7653,
School,Apple Valley Virtual Academy,N,Y,Apple Valley,92308-7256,
School,Berean Christian,N,N,Apple Valley,92307-3549,
School,Desiree's homeschool,N,N,Applevalley,92307-4477,
School,Granite Hills High,N,Y,Apple Valley,92307-4305,
School,High Desert Premier Academy,N,Y,Apple Valley,92308-7256,
School,PSP Christian Academy,N,N,Apple Valley,92307-3861,
School,Victor Valley Desert Christian,N,N,Apple Valley,92308-3713,
School,Baker High,N,Y,Baker,92309,
School,Barstow High,N,Y,Barstow,92311-2860,
School,Central High (Continuation),N,Y,Barstow,92311-2226,
School,The Enlightened Mind,N,N,Barstow,92311-5514,
School,Berean Christian School,N,N,Angelus Oaks,92305-9781,
School,Big Bear Christian School,N,N,Big Bear Lake,92315,
School,Big Bear High,N,Y,Big Bear City,92314-9700,
School,Calvary Chapel Big Bear Christian School,N,N,Big Bear City,92314,
School,Chautauqua High (Continuation),N,Y,Big Bear City,92314,
School,United Christian Academy,N,N,Rancho Cucamonga,91730-7699,
School,Alta Loma High,N,Y,Alta Loma,91701-5504,
School,Amazing Stars Academy United,N,N,Fontana,92336-3518,
School,American Christian Military Academy Of Excellence,N,N,Claremont,91711,
School,CCFS-Charter School,N,N,Corona,92879,
School,Chaffey District Online High,N,Y,Ontario,91764-1210,
School,Chaffey High,N,Y,Ontario,91762-1997,
School,Colony High,N,Y,Ontario,91761-2603,
School,Etiwanda High,N,Y,Etiwanda,91739-0447,
School,Los Osos High,N,Y,Rancho Cucamonga,91737-7709,
School,Montclair High,N,Y,Montclair,91763-2705,
School,Olive Tree Institute,N,N,Alta Loma,91737-4335,
School,Ontario Christian High,N,N,Ontario,91762-6218,
School,Ontario High,N,Y,Ontario,91762-6214,
School,Rancho Cucamonga High,N,Y,Rancho Cucamonga,91701-8715,
School,Valley View High (Continuation),N,Y,Ontario,91764-1599,
School,Wesley College Preparatory School,N,N,Ontario,91762-1208,
School,Boys Republic High,N,Y,Chino Hills,91709-5447,
School,Buena Vista Continuation High,N,Y,Chino,91710-4130,
School,Chino High,N,Y,Chino,91710-4130,
School,Chino Hills High,N,Y,Chino Hills,91709-3101,
School,Chino Valley Christian Academy,N,N,Chino,91710-2142,
School,Don Antonio Lugo High,N,Y,Chino,91710-4130,
School,Kingdom Generation School,N,N,Chino,91710-4105,
School,Prestige STEM Academy,N,N,Chino Hills,91709-6531,
School,Riverbend Classical Academy,N,N,Chino Hills,91708,
School,Ruben S. Ayala High,N,Y,Chino Hills,91709-1607,
School,Spectrum Center Schools-Chino Hills,N,N,Chino Hills,91709-3331,
School,United Family Schooling,N,N,Information Redacted,Information Redacted,
School,VICTORY BAPTIST ACADEMY,N,N,Chino,91710-6912,
School,Bloomington High,N,Y,Bloomington,92316-2520,
School,Colton High,N,Y,Colton,92324-2251,
School,Grand Terrace High School at the Ray Abril Jr. Educational Complex,N,Y,Grand Terrace,92313-5810,
School,Liberty Christian Academy,N,N,Bloomington,92316-1840,
School,Sierra School of East Valley,N,N,Colton,92324-3947,
School,Slover Mountain High (Continuation),N,Y,Bloomington,92316-2466,
School,Truth Tabernacle Christian Academy,N,N,Bloomington,92316-1642,
School,Washington High,N,Y,Colton,92324-2600,
School,By His Grace Christian Academy,N,N,Rancho Cucamonga,91730-7917,
School,Fountain of Truth Christian Academy,N,N,Rancho Cucamonga,91730,
School,Rancho Christian Academy,N,N,Rancho Cucamonga,91730-6882,
School,The Good Shepherd Academy,N,N,Pomona,91767-4908,
School,The Joshua Center Christian Academy,N,N,Rancho Cucamonga,91730-4898,
School,Etiwanda Academy,N,N,Etiwanda,91739-9777,
School,Access Academy,N,Y,Fontana,92337-0640,
School,Altus Academy,N,N,Rialto,92376,
School,Citrus High (Continuation),N,Y,Fontana,92337-7422,
School,Eric Birch High (Continuation),N,Y,Fontana,92336-2871,
School,Fontana A. B. Miller High,N,Y,Fontana,92336-1400,
