Record Type,School,Charter Yes/No,Public Yes/No,Street City,Street Zip,
School,"Learners, Empowered Academic Progress (LEAP)",N,Y,Angels Camp,95222-1359,
School,Christian Heritage Academy,N,N,Vallecito,95251,
School,Vallecito Independent Study (Alternative),N,Y,Avery,95224-0329,
School,Colusa Alternative High (Continuation),N,Y,Colusa,95932-3024,
School,Colusa Alternative Home,N,Y,Colusa,95932-2220,
School,Colusa High,N,Y,Colusa,95932-3024,
School,Maxwell Sr High,N,Y,Maxwell,95955-0788,
School,Arbuckle Alternative High (Continuation),N,Y,Arbuckle,95912-9714,
School,Liberty Academy,N,N,Dunnigan,95937,
School,Pierce High,N,Y,Arbuckle,95912-9714,
School,Mid Valley High (Continuation),N,Y,Williams,95987-0007,
School,Williams Junior/Senior High,N,Y,Williams,95987,
School,Acalanes Center for Independent Study,N,Y,Walnut Creek,94595-2201,
School,Acalanes High,N,Y,Lafayette,94549-2623,
School,Bentley School,N,N,Lafayette,94549-2830,
School,Campolindo High,N,Y,Moraga,94556-2402,
School,"Futures Academy, Walnut Creek",N,N,Walnut Creek,94596-7015,
School,Holden High School,N,N,Orinda,94563-2508,
School,Las Lomas High,N,Y,Walnut Creek,94596-5319,
School,Miramonte High,N,Y,Orinda,94563-4330,
School,Orinda Academy,N,N,Orinda,94563-2602,
School,Orion Academy,N,N,Concord,94520-2547,
School,Antioch High,N,Y,Antioch,94509-1576,
School,Bidwell Continuation High,N,Y,Antioch,94509-2763,
School,Cornerstone Christian School,N,N,Antioch,94509-2191,
School,"Dalet Academy, ISP",N,N,Antioch,94531-8074,
School,Deer Valley High,N,Y,Antioch,94531-8486,
School,Dozier-Libbey Medical High,N,Y,Antioch,94531-8680,
School,Heritage Baptist Academy,N,N,Antioch,94531-9008,
School,Hilltop Christian,N,N,Antioch,94509-7403,
School,Kamilah Cares for Kids,N,N,Information Redacted,Information Redacted,
School,Live Oak High (Continuation),N,Y,Antioch,94509-2225,
School,Prospects High (Alternative),N,Y,Antioch,94509-1145,
School,Sierra School of Antioch - Fremont,N,N,Antioch,94509-2220,
School,Soli Deo Gloria,N,N,Information Redacted,Information Redacted,
School,Thomas Gaines Virtual Academy,N,Y,Antioch,94531-7673,
School,Golden Hills Christian School,N,N,Brentwood,94513-5330,
School,Seneca Family of Agencies - Uprising Academy,N,N,Vallejo,94590-4309,
School,Byron Institute for Independent Study,N,Y,Discovery Bay,94505-1828,
School,Vista Oaks Charter,Y,Y,Lodi,95242-3322,
School,Clayton Valley Charter High,Y,Y,Concord,94521-3799,
School,Contra Costa School of Performing Arts,Y,Y,Walnut Creek,94598-1602,
School,Invictus Academy of Richmond,Y,Y,El Cerrito,94803,
School,Making Waves Academy,Y,Y,Richmond,94806-1942,
School,Summit Public School K2,Y,Y,El Cerrito,94530-1925,
School,John Swett High,N,Y,Crockett,94525-1426,
School,King's Academy,N,N,Rodeo,94572-2024,
School,Willow High,N,Y,Crockett,94525-0916,
School,Freedom High,N,Y,Oakley,94561-3843,
School,Heritage High,N,Y,Brentwood,94513-4604,
School,Independence High,N,Y,Brentwood,94513-1137,
School,La Paloma High (Continuation),N,Y,Brentwood,94513-5314,
School,Liberty High,N,Y,Brentwood,94513-1132,
School,Alhambra Senior High,N,Y,Martinez,94553-3139,
School,Briones (Alternative),N,Y,Martinez,94553-3212,
School,Vicente Martinez High,N,Y,Martinez,94553-3212,
School,Above and Beyond Academy,N,N,Bay Point,94565-3337,
School,"Anova Center for Education, Contra Costa",N,N,Concord,94520-5760,
School,Berean Christian High School,N,N,Walnut Creek,94598-4112,
School,Carondelet High School,N,N,Concord,94518-3598,
School,College Park High,N,Y,Pleasant Hill,94523-1809,
School,Concord High,N,Y,Concord,94521-1059,
School,Contra Costa Christian Schools,N,N,Walnut Creek,94597-2440,
School,Crossroads High,N,Y,Concord,94519-2590,
School,De La Salle High School of Concord,N,N,Concord,94518-3528,
School,Excel High School,N,N,Martinez,94553-2216,
School,Fusion Academy,N,N,Walnut Creek,94597-4501,
School,Horizons School: Independent Study,N,Y,Pleasant Hill,94523-4496,
School,La Cheim School Concord,N,N,Concord,94519-2608,
School,Mt. Diablo High,N,Y,Concord,94520-2251,
School,Northgate High,N,Y,Walnut Creek,94598-4599,
School,Olympic Continuation High,N,Y,Concord,94519-2599,
School,Orion Academy,N,N,Concord,94520-2555,
School,Pleasant Hill Adventist Academy,N,N,Pleasant Hill,94523-2640,
School,Prospect High (Continuation),N,Y,Pleasant Hill,94523-4417,
School,Ygnacio Valley High,N,Y,Concord,94518-2899,
School,Apple Road Academy,N,N,Information Redacted,Information Redacted,
School,Black Diamond High (Continuation),N,Y,Pittsburg,94565-5466,
School,Pittsburg Senior High,N,Y,Pittsburg,94565-4615,
School,Alkavain Academy,N,N,San Ramon,94583-1641,
School,Blue Dot Academy,N,N,San Ramon,94583-2413,
School,California High,N,Y,San Ramon,94583-2942,
School,Del Amigo High (Continuation),N,Y,Danville,94526-2399,
School,Dougherty Valley High,N,Y,San Ramon,94582-2901,
School,Monte Vista High,N,Y,Danville,94526-1129,
School,San Ramon Valley High,N,Y,Danville,94526-2404,
School,The Athenian School,N,N,Danville,94506-2002,
School,Venture (Alternative),N,Y,San Ramon,94582-2901,
School,John Henry High,Y,Y,Richmond,94804-2411,
School,A Better Chance / California Autism Foundation,N,N,Richmond,94806-4806,
School,Arlington Christian School,N,N,Richmond,94805-1648,
School,Aspire Richmond Ca. College Preparatory Academy,Y,Y,Richmond,94806-1920,
School,Bethel Christian Academy,N,N,El Sobrante,94803-1628,
School,Big Minds,N,N,Pinole,94564-1732,
School,De Anza High,N,Y,Richmond,94803-2599,
School,El Cerrito High,N,Y,El Cerrito,94530-3299,
School,El Sobrante Christian School,N,N,El Sobrante,94803-1343,
School,Greenwood Academy,N,Y,Richmond,94801-3533,
School,Hercules High,N,Y,Hercules,94547-1554,
School,John F. Kennedy High,N,Y,Richmond,94804-3399,
School,"La Cheim School, El Sobrante",N,N,El Sobrante,94803-3222,
School,Leadership Public Schools: Richmond,Y,Y,Richmond,94801-2411,
School,Middle College High,N,Y,San Pablo,94806-3195,
School,Pinole Valley High,N,Y,Pinole,94564-1499,
School,Richmond High,N,Y,Richmond,94804-1091,
School,Salesian High School d/b/a Salesian College Preparatory,N,N,Richmond,94804-1025,
School,"Seneca Family of Agencies, Catalyst Academy",N,N,El Sobrante,94803-1336,
School,Summit Public School: Tamalpais,Y,Y,Richmond,94806-1920,
School,Viridis Academy,N,N,El Cerrito,94530-1928,
School,Vista Independent Study / Virtual Academy,N,Y,San Pablo,94806-2703,
School,Wildcat Canyon Community School,N,N,El Sobrante,94803-3145,
School,Castle Rock,Y,Y,Crescent City,95531-2113,
School,Del Norte High,N,Y,Crescent City,95531-2110,
School,Sunset High,N,Y,Crescent City,95531-8461,
School,The Carey Homestead,N,N,Crescent City,95531-5113,
School,Uncharted Shores Academy,Y,Y,Crescent City,95531-8330,
School,American River Charter,Y,Y,Georgetown,95634-9701,
School,Divide High,N,Y,Georgetown,95634-9701,
School,Golden Sierra Junior Senior High,N,Y,Garden Valley,95633-0175,
School,RBR Academy,N,N,Kelsey,95667-7471,
School,Buckeye Union Mandarin Immersion Charter,Y,Y,El Dorado Hills,95762-7729,
School,Clarksville Charter,Y,Y,El Dorado Hills,95762-9825,
School,Cottonwood,Y,Y,El Dorado Hills,95762-9343,
School,Point Quest Education - El Dorado Hills,N,N,El Dorado Hills,95762-9653,
School,John Adams Academy - El Dorado Hills,Y,Y,El Dorado Hills,95762-5710,
School,Cowles Christian Academy,N,N,El Dorado,95623-4524,
School,District Christian Academy,N,N,El Dorado Hills,95762-7126,
School,El Dorado High,N,Y,Placerville,95667-4312,
School,Independence Continuation,N,Y,Diamond Springs,95619-1450,
School,Oak Ridge High,N,Y,El Dorado Hills,95762-4324,
School,Opportunity Acres dba Independent Trails,N,N,Shingle Springs,95682-9731,
School,Pacific Crest Academy,Y,Y,El Dorado,95623-4328,
School,Ponderosa High,N,Y,Shingle Springs,95682-9435,
School,Studia Nova,N,N,Placerville,95667-5747,
School,Summitview Academy,N,N,Placerville,95667,
School,Summitview Ranch Academy,N,N,Placerville,95667-7013,
School,Union Mine High,N,Y,El Dorado,95623-4328,
School,Piedmont Christian School,N,N,Placerville,95667-8999,
School,Elevated Digital Learning Academy,N,Y,South Lake Tahoe,96150,
School,Mt. Tallac High,N,Y,South Lake Tahoe,96150-3718,
School,South Tahoe High,N,Y,South Lake Tahoe,96150-3718,
School,Tahoe Prep Academy,N,N,South Lake Tahoe,96150-5331,
School,Heritage Oaks Academy,N,N,Information Redacted,Information Redacted,
School,El Dorado Adventist,N,N,Placerville,95667,
School,Caruthers High,N,Y,Caruthers,93609-0545,
School,Ibex Christian Academy,N,N,Caruthers,93609-9534,
School,MARC High,N,Y,Caruthers,93609-0545,
School,Central East High,N,Y,Fresno,93722-7020,
School,Central High,N,Y,Fresno,93722-9643,
School,Central Online Home,N,Y,Fresno,93722-7210,
School,Central Unified Alternative/Opportunity,N,Y,Fresno,93722-5113,
School,Justin Garza High,N,Y,Fresno,93723-9236,
School,Pershing Continuation High,N,Y,Fresno,93706-1700,
School,Belmont Private Academy,N,N,Fresno,93737-2593,
School,Buchanan High,N,Y,Clovis,93611-7698,
School,Clovis East High,N,Y,Clovis,93611-8474,
School,Clovis High,N,Y,Clovis,93611-2062,
School,Clovis North High,N,Y,Fresno,93730-5400,
School,Clovis Online Charter,Y,Y,Clovis,93611-0581,
School,Clovis West High,N,Y,Fresno,93720-1899,
School,Enterprise Alternative,N,Y,Clovis,93611-0569,
School,Fresno Christian Schools,N,N,Fresno,93720-3633,
School,Gateway High (Continuation),N,Y,Clovis,93611-0598,
School,Glen Haven Christian Academy,N,N,Clovis,93619-9533,
School,Lighthouse Christian School,N,N,Fresno,93727-3205,
School,Logos Christian Conservatory,N,N,Clovis,93619-8354,
School,Provident Academy,N,N,Information Redacted,Information Redacted,
School,Redwood View Academy,N,N,Clovis,93619-7694,
School,Sierra Independent,N,N,Information Redacted,Information Redacted,
School,Cambridge High,N,Y,Coalinga,93210-2927,
School,Chesnut High (Continuation),N,Y,Huron,93234-1090,
School,Coalinga High,N,Y,Coalinga,93210-1541,
School,Faith Christian Academy,N,N,Coalinga,93210,
School,El Puente High,N,Y,Firebaugh,93622-2465,
School,Faith Academy,N,N,Firebaugh,93622,
School,Firebaugh High,N,Y,Firebaugh,93622-9711,
School,Fowler Academy Continuation,N,Y,Fowler,93625-2702,
School,Fowler Academy Independent Study,N,Y,Fowler,93625-2702,
School,Fowler High,N,Y,Fowler,93625-2423,
School,Big Picture Educational Academy,Y,Y,Fresno,93706-2611,
School,Career Technical Education Charter,Y,Y,Fresno,93703-3938,
School,Crescent View West Public Charter,Y,Y,Fresno,93726-5309,
School,Hume Lake Charter,Y,Y,Hume,93628-9602,
School,Aspen Ridge Public,Y,Y,Fresno,93726-4806,
School,Bullard High,N,Y,Fresno,93704-1941,
School,"California Christian Academy, PSP",N,N,Fresno,93727-6204,
School,Cambridge Continuation High,N,Y,Fresno,93727-3907,
School,Campus Christian Academy,N,N,Fresno,93727-3205,
School,Carter G. Woodson Public Charter,Y,Y,Fresno,93726-5712,
School,CHRISTIAN ACADEMY SCHOOL,N,N,FRESNO,93710,
School,Creative Alternatives School,N,N,Fresno,93703-2642,
School,Design Science Middle College High,N,Y,Fresno,93741-6219,
School,Dewolf Continuation High,N,Y,Fresno,93703-2124,
School,Edison High,N,Y,Fresno,93706-3736,
School,Endeavor Charter,Y,Y,Fresno,93704-2302,
School,Erma Duncan Polytechnical High,N,Y,Fresno,93726-6102,
School,Fip Fresno International Prep/WIP,N,N,Fresno,93722-8439,
School,Fresno Adventist Academy,N,N,Fresno,93727-2522,
School,Fresno California Academy,N,N,Fresno,93722,
School,Fresno High,N,Y,Fresno,93704-6047,
School,Full Circle Academy - Fresno,N,N,Fresno,93711-6649,
School,Herbert Hoover High,N,Y,Fresno,93710-6201,
School,J. E. Young Academic Center,N,Y,Fresno,93701-1002,
School,"Learn Academy, Fresno",N,N,Fresno,93726-6906,
School,"Maverick Center for Dyslexia, inc.",N,N,Fresno,93726-4303,
School,McLane High,N,Y,Fresno,93703-2016,
School,Phillip J Patino School of Entrepreneurship,N,Y,Fresno,93703,
School,Remnant Christian School,N,N,Fresno,93703-4502,
School,Roosevelt High,N,Y,Fresno,93702-3037,
School,San Joaquin Memorial High,N,N,Fresno,93703-3789,
School,School of Unlimited Learning,Y,Y,Fresno,93721-1104,
School,Sierra Charter,Y,Y,Fresno,93727-1510,
School,Solid Truth Academy,N,N,Fresno,93727-5906,
School,St. Elizabeth Ann Seton,N,N,Fresno,93711-2429,
School,Sunnyside High,N,Y,Fresno,93727-4889,
School,Truth Tabernacle Christian School,N,N,Fresno,93726-2302,
School,University High,Y,Y,Fresno,93740,
School,Rio Del Rey High (Continuation),N,Y,Helm,93627-9900,
School,Tranquillity High,N,Y,Tranquillity,93668,
School,Enterprise High,N,Y,Kerman,93630-1345,
