,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
102,Costa Mesa High,1,0,13.0,6.0,95175,19114,0.023567666344190046,0.17209502311082447,0.3947382564764055,0.1256046436633344
103,Charter Oak High,1,0,40.0,23.0,84679,8448,0.015372750642673521,0.25470437017994857,0.3394858611825193,0.08848329048843187
104,Covina High,1,0,34.0,26.0,70428,5802,0.01831849995679599,0.3334485440248855,0.19001123304242634,0.07120020737924479
105,Gladstone High,1,0,12.0,8.0,82441,10019,0.02803893145578795,0.32362808034789814,0.22311037481880305,0.0693725408987368
106,Northview High,1,0,54.0,34.0,82441,10019,0.02803893145578795,0.32362808034789814,0.22311037481880305,0.0693725408987368
107,Culver City High,1,0,64.0,34.0,87469,13670,0.017926637409952803,0.14337169826943777,0.3353067814854682,0.2537467914217107
108,Cupertino High,1,0,199.0,131.0,179702,21199,0.009421459723862076,0.05811908146791644,0.3860388906291415,0.46220572998241005
109,Homestead High,1,0,144.0,97.0,179702,21199,0.009421459723862076,0.05811908146791644,0.3860388906291415,0.46220572998241005
110,Monta Vista High,1,0,262.0,180.0,179702,21199,0.009421459723862076,0.05811908146791644,0.3860388906291415,0.46220572998241005
111,Cypress High,1,0,140.0,93.0,102263,15933,0.02862494877948838,0.1721887256336709,0.39796874085348005,0.16656910378739098
112,Oxford Academy,1,0,75.0,71.0,102263,15933,0.02862494877948838,0.1721887256336709,0.39796874085348005,0.16656910378739098
113,Jefferson High,1,0,7.0,7.0,98879,14171,0.05219846067804735,0.2578763748701696,0.33460278569336066,0.07653998774934086
114,Summit Public School: Shasta,1,1,15.0,11.0,100208,20542,0.024190562389435143,0.20208170485868268,0.41597070802649444,0.09388242070185543
115,Dana Hills High,1,0,47.0,36.0,105014,11595,0.012562448464859096,0.12625503225493526,0.42983945287869235,0.2257360430712519
116,Monte Vista High,1,0,84.0,61.0,163801,12647,0.004783258594917788,0.09122357463164638,0.4893444373265001,0.24151185137732223
117,San Ramon Valley High,1,0,27.0,19.0,163801,12647,0.004783258594917788,0.09122357463164638,0.4893444373265001,0.24151185137732223
118,Davis Senior High,1,0,70.0,56.0,61213,17999,0.0027610008628127696,0.06993097497842968,0.3609577221742882,0.4339948231233822
119,Delano High,1,0,12.0,6.0,46752,12230,0.05678215085667743,0.323617534979783,0.10059051109753614,0.01378828868138581
120,Desert Hot Springs High,1,0,41.0,21.0,40456,12955,0.03880122221757147,0.34833200786907204,0.1729103009501486,0.055292788079193
121,Diamond Bar High,1,0,259.0,221.0,101161,14874,0.024235975645800083,0.14940592303599928,0.435419991724301,0.19403558550570432
122,Downey High,1,0,99.0,54.0,72274,13304,0.03094423123465754,0.28250873007640975,0.2500086436400097,0.07959063720914152
123,Warren (Earl) High,1,0,112.0,68.0,72274,13304,0.03094423123465754,0.28250873007640975,0.2500086436400097,0.07959063720914152
124,California School of the Arts - San Gabriel Valley,1,1,26.0,21.0,83051,7963,0.030566297610849183,0.25703236743126556,0.27901679292260423,0.10012184139428934
125,Duarte High,1,0,17.0,8.0,83051,7963,0.030566297610849183,0.25703236743126556,0.27901679292260423,0.10012184139428934
126,Dublin High,1,0,209.0,152.0,148083,19065,0.010281480734823475,0.12136179220321044,0.44250686692034374,0.27147645087316985
127,East Palo Alto Academy,1,1,12.0,6.0,120754,14360,0.031604487017897656,0.17582556087723722,0.23481220065540712,0.289671036047391
128,Eleanor Roosevelt High,1,0,261.0,162.0,109438,18125,0.01858246251703771,0.1963652885052249,0.3640390731485688,0.11717401181281235
129,Granite Hills High,1,0,30.0,19.0,85067,14727,0.021411447899904765,0.23578864405109848,0.3201865291780237,0.12715510163869823
130,Valhalla High,1,0,43.0,27.0,85067,14727,0.021411447899904765,0.23578864405109848,0.3201865291780237,0.12715510163869823
131,Central Union High,1,0,21.0,9.0,47614,13146,0.038536601501769706,0.25526777149283847,0.16982567563097484,0.06390790909993053
132,Southwest High,1,0,32.0,15.0,47614,13146,0.038536601501769706,0.25526777149283847,0.16982567563097484,0.06390790909993053
133,El Cerrito High,1,0,34.0,23.0,107621,10499,0.0189642965510266,0.11924749671285527,0.391170223525842,0.3127844644482654
134,Oak Ridge High,1,0,31.0,23.0,136203,14987,0.005069622820062188,0.1299513316209274,0.4472421251858862,0.2007908611599297
135,Arroyo High,1,0,73.0,43.0,56098,15466,0.08911256583156962,0.33452281340749124,0.17224491804892456,0.02237042870502535
136,El Monte High,1,0,113.0,57.0,48723,8122,0.08702749579146049,0.3103096464826812,0.16573993776462786,0.022700607049941337
137,Mountain View High,1,0,38.0,21.0,56098,15466,0.08911256583156962,0.33452281340749124,0.17224491804892456,0.02237042870502535
138,Da Vinci Science,1,1,31.0,13.0,115846,6645,0.006639004149377593,0.1249792531120332,0.4004149377593361,0.2191701244813278
139,El Segundo High,1,0,29.0,16.0,115846,6645,0.006639004149377593,0.1249792531120332,0.4004149377593361,0.2191701244813278
140,Cosumnes Oaks High,1,0,25.0,18.0,108507,14415,0.02476958525345622,0.1774193548387097,0.37733446519524616,0.13536866359447006
141,Franklin High,1,0,34.0,24.0,108507,14415,0.02476958525345622,0.1774193548387097,0.37733446519524616,0.13536866359447006
142,Laguna Creek High,1,0,19.0,10.0,92222,21946,0.03630759467851234,0.1938218162862906,0.35036148947261064,0.13394374815855675
143,Pleasant Grove High,1,0,29.0,23.0,100453,20006,0.03547548291233284,0.22462388558692423,0.31382336552748885,0.09839338781575037
144,San Dieguito HS Academy,1,0,41.0,30.0,125458,19371,0.009749488616741492,0.10365805063358394,0.4451026751321627,0.2583216002975321
145,Classical Academy High,1,1,17.0,13.0,56866,16325,0.03411359099981855,0.25576120486300125,0.2251255065626323,0.08994132946228754
146,Del Lago Academy - Campus of Applied Science,1,0,29.0,18.0,96690,7332,0.00849682232660956,0.14707101409229068,0.3601132909643548,0.1758773141751865
147,Escondido Charter High,1,1,17.0,11.0,70009,17070,0.04594701463028865,0.30618162646632396,0.21502570185844208,0.060340055357848955
148,Escondido High,1,0,63.0,32.0,76534,17645,0.030450635219050875,0.2234375890161226,0.26394348544408364,0.11693157864752464
149,Orange Glen High,1,0,38.0,21.0,70009,17070,0.04594701463028865,0.30618162646632396,0.21502570185844208,0.060340055357848955
150,San Pasqual High,1,0,24.0,17.0,56866,16325,0.03411359099981855,0.25576120486300125,0.2251255065626323,0.08994132946228754
151,Etiwanda High,1,0,116.0,77.0,119397,11421,0.007698381365969206,0.1687722068693249,0.3891038294512436,0.1906040268456376
152,Exeter Union High,1,0,3.0,,61782,4820,0.032711282711282715,0.2412054912054912,0.25053625053625056,0.06692406692406692
153,Bella Vista High,1,0,9.0,8.0,89923,15996,0.007325519445924348,0.15843100692594567,0.37976158763985085,0.16502397442727756
154,Angelo Rodriguez High,1,0,9.0,6.0,115561,13121,0.015154819014391627,0.18163977322285216,0.38828318069486845,0.12440034888791976
155,Armijo High,1,0,8.0,8.0,75544,24396,0.02987608547175334,0.28781344521416724,0.24259927797833936,0.06619182359254562
156,Vanden High,1,0,12.0,7.0,75544,24396,0.02987608547175334,0.28781344521416724,0.24259927797833936,0.06619182359254562
157,Fallbrook High,1,0,38.0,20.0,80775,15764,0.03271127943557008,0.2372560398277389,0.2772670352157845,0.1202467853761339
158,Folsom High,1,0,38.0,23.0,118006,27717,0.0056593816534129164,0.14253998871763143,0.4113151238330937,0.2006623842192419
159,Fontana A. B. Miller High,1,0,78.0,41.0,96447,25768,0.031933508311461065,0.26877649909145973,0.2622316441214079,0.07986742041860152
160,Fontana High,1,0,140.0,77.0,58070,25003,0.05040591300133285,0.35351647020131205,0.13356182167523498,0.012463000467362517
161,Henry J. Kaiser High,1,0,98.0,63.0,84649,9923,0.02435003170577045,0.34555062354681887,0.211287254280279,0.029380680617205664
162,Jurupa Hills High,1,0,83.0,51.0,84649,9923,0.02435003170577045,0.34555062354681887,0.211287254280279,0.029380680617205664
163,Options for Youth-Acton,1,1,11.0,7.0,84649,9923,0.02435003170577045,0.34555062354681887,0.211287254280279,0.029380680617205664
164,Summit High,1,0,95.0,57.0,96447,25768,0.031933508311461065,0.26877649909145973,0.2622316441214079,0.07986742041860152
165,Fountain Valley High,1,0,147.0,104.0,89478,18567,0.027399926998418297,0.1958389098430466,0.3698260128969461,0.13366589609441537
166,Los Amigos High,1,0,63.0,28.0,89478,18567,0.027399926998418297,0.1958389098430466,0.3698260128969461,0.13366589609441537
167,American High,1,0,230.0,174.0,132568,24879,0.01740765109502773,0.1922361124165805,0.3811636431995488,0.22494595356706457
168,Irvington High,1,0,230.0,160.0,119206,21690,0.021462492033797256,0.22961166046502066,0.3167567789815595,0.22683633821927102
169,John F. Kennedy High,1,0,21.0,15.0,119206,21690,0.021462492033797256,0.22961166046502066,0.3167567789815595,0.22683633821927102
170,Mission San Jose High,1,0,293.0,201.0,188596,16458,0.007262525890773708,0.08979837969638971,0.37731050575496183,0.4026900186151386
171,Washington High,1,0,92.0,51.0,132568,24879,0.01740765109502773,0.1922361124165805,0.3811636431995488,0.22494595356706457
172,Bullard High,1,0,12.0,6.0,60362,11644,0.021400394477317553,0.21060157790927023,0.2986686390532544,0.13545364891518738
173,Clovis North High,1,0,32.0,27.0,125804,4404,0.005956552207428171,0.13489838822704975,0.38962859145059564,0.28100911002102313
174,Clovis West High,1,0,10.0,8.0,91096,17935,0.009933370010391834,0.14600525704505166,0.3868818387431995,0.20166269331866252
175,University High,1,1,18.0,16.0,54004,11752,0.023391523663518123,0.2561693289154839,0.31066712823302506,0.07462538944661491
176,Sunny Hills High,1,0,142.0,96.0,88725,16266,0.020870337477797513,0.22174733570159857,0.36767317939609234,0.1434003108348135
177,Troy High,1,0,203.0,171.0,80279,11968,0.01651871510936213,0.182987096183765,0.3510570147341448,0.16280772398645557
