,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
464,Novato High,1,0,55.0,9.0,111285,9882,0.020068116321718628,0.16232643437254388,0.3909876866649201,0.15488603615404767
465,San Marin High,1,0,45.0,10.0,120692,7282,0.024525547445255473,0.15299270072992702,0.40145985401459855,0.15737226277372263
466,Oak Park High,1,0,106.0,18.0,137047,5033,0.0008514261387824606,0.0772669220945083,0.4842486164325245,0.2673478075776926
467,Oakdale High,1,0,22.0,6.0,75138,12420,0.01291600292762733,0.28471175786799846,0.22314547724630818,0.08920652688681276
468,Yosemite High,1,0,10.0,7.0,55678,3287,0.0057757099310123535,0.261350874378309,0.28333065939355045,0.0741216107813252
469,AIMS College Prep High,1,1,72.0,9.0,60181,11121,0.027214968232527892,0.1885036770223623,0.35654610035519535,0.16118865375956776
470,ARISE High,1,1,24.0,,53433,15118,0.09251352120694563,0.2826074580130942,0.21340734415029888,0.060802732707087956
471,Aspire Golden State College Preparatory Academy,1,1,14.0,,104919,15290,0.004554226167502895,0.09243535314550366,0.4425318409880355,0.3217290621381706
472,AIMS College Prep High,1,1,20.0,3.0,60181,11121,0.027214968232527892,0.1885036770223623,0.35654610035519535,0.16118865375956776
473,Castlemont High,1,0,10.0,,77939,16022,0.025038974261079826,0.2172377589004486,0.28656422003754256,0.17116859151792815
474,Coliseum College Prep Academy,1,0,13.0,3.0,40813,9543,0.07250697182421387,0.3387344937013174,0.14972593518607558,0.025915953457063177
475,East Bay Innovation Academy,1,1,30.0,,77939,16022,0.025038974261079826,0.2172377589004486,0.28656422003754256,0.17116859151792815
476,Envision Academy for Arts & Technology,1,1,19.0,3.0,59773,8988,0.021532661494961212,0.12027840208801566,0.36431523236424274,0.23743928079460597
477,Fremont High,1,0,16.0,,53433,15118,0.09251352120694563,0.2826074580130942,0.21340734415029888,0.060802732707087956
478,LIFE Academy,1,0,17.0,4.0,53433,15118,0.09251352120694563,0.2826074580130942,0.21340734415029888,0.060802732707087956
479,Lighthouse Community Charter High,1,1,19.0,,40813,9543,0.07250697182421387,0.3387344937013174,0.14972593518607558,0.025915953457063177
480,Madison Park Academy 6-12,1,0,32.0,5.0,55692,9613,0.05761826182618262,0.3737165383204987,0.1817015034836817,0.044737807114044736
481,McClymonds High,1,0,15.0,3.0,60181,11121,0.027214968232527892,0.1885036770223623,0.35654610035519535,0.16118865375956776
482,MetWest High,1,0,9.0,,63188,15054,0.06817490108552297,0.2078725778634473,0.33701937709242163,0.12860572858543842
483,Oakland Charter High,1,1,47.0,8.0,53433,15118,0.09251352120694563,0.2826074580130942,0.21340734415029888,0.060802732707087956
484,Oakland High,1,0,97.0,19.0,104919,15290,0.004554226167502895,0.09243535314550366,0.4425318409880355,0.3217290621381706
485,Oakland International High,1,0,20.0,,95693,9933,0.01335432386949677,0.13446609847456706,0.39585255957874166,0.2641007545735845
486,Oakland High,1,0,17.0,4.0,104919,15290,0.004554226167502895,0.09243535314550366,0.4425318409880355,0.3217290621381706
487,Oakland School for the Arts,1,1,25.0,8.0,59773,8988,0.021532661494961212,0.12027840208801566,0.36431523236424274,0.23743928079460597
488,Oakland Technical High,1,0,147.0,25.0,136538,16854,0.0055671537926235215,0.0693574576664347,0.43927494449415116,0.36435033303509295
489,Oakland Unity High,1,1,18.0,3.0,77939,16022,0.025038974261079826,0.2172377589004486,0.28656422003754256,0.17116859151792815
490,Skyline High,1,0,72.0,18.0,106875,9017,0.02212314464698911,0.16366612111292964,0.32428466617754953,0.2526101924487838
491,Freedom High,1,0,57.0,9.0,102911,12621,0.017210111403086717,0.32573374292164775,0.25371035197453645,0.05577556534290684
492,Mission Vista High,1,0,41.0,,81339,18799,0.02527622218858786,0.2179254326219666,0.2951415165733313,0.10418243277332123
493,Oceanside High,1,0,22.0,,63355,15573,0.01618167928328356,0.20438919369400652,0.31832071671643863,0.1060143065490659
494,Nordhoff High,1,0,22.0,5.0,80685,8117,0.014843087362171332,0.19399006421907186,0.3362413667757179,0.1774506240155095
495,Chaffey High,1,0,39.0,8.0,64383,17853,0.03736220856501805,0.31874939030338506,0.211369622475856,0.046532045654082525
496,Colony High,1,0,24.0,5.0,76207,17345,0.031630043321676495,0.3154914139568871,0.22112323190145625,0.056944516937209665
497,Ontario High,1,0,27.0,6.0,64383,17853,0.03736220856501805,0.31874939030338506,0.211369622475856,0.046532045654082525
498,El Modena High,1,0,51.0,4.0,121712,11348,0.020083453574074796,0.16382638536832664,0.3614241703388839,0.16831104004991615
499,Orange High,1,0,22.0,4.0,103040,12934,0.019458454054440747,0.21779876238509138,0.3233537217870301,0.1356368709088958
500,Orange Cove High,1,0,5.0,,27909,2996,0.12687195019350497,0.26148409893992935,0.10297829379101464,0.002523977788995457
501,Casa Roble Fundamental High,1,0,13.0,,76079,12424,0.0152020442635021,0.26778985664169086,0.3158213868075707,0.07847892936030144
502,Miramonte High,1,0,127.0,19.0,231373,7109,0.0029881203993877997,0.029735442023176153,0.45557903942861305,0.4393994606807084
503,Orosi High,1,0,26.0,3.0,41402,2906,0.03348285805831464,0.2528035885933996,0.14979173341877602,0.008490868311438641
504,Channel Islands High,1,0,25.0,12.0,68542,16804,0.05661930426261636,0.28799608035276825,0.1437530622243998,0.018402743753062223
505,Hueneme High,1,0,23.0,8.0,68542,16804,0.05661930426261636,0.28799608035276825,0.1437530622243998,0.018402743753062223
506,Oxnard High,1,0,43.0,5.0,78931,13287,0.03122599605917911,0.2955615669772568,0.2325418294760044,0.0678956684366964
507,Pacifica High,1,0,33.0,6.0,78931,13287,0.03122599605917911,0.2955615669772568,0.2325418294760044,0.0678956684366964
508,Rio Mesa High,1,0,23.0,4.0,78522,14975,0.043959838504037396,0.30211432214194645,0.1967435189120272,0.048555036124096895
509,Pacific Grove High,1,0,20.0,3.0,89088,6977,0.0051686154889001865,0.1213353668869683,0.36595492289442466,0.2802914760210134
510,Oceana High,1,0,32.0,6.0,130327,13833,0.010689248282085097,0.1748108558339696,0.38515999167071563,0.1766502394669258
511,Terra Nova High,1,0,27.0,5.0,130327,13833,0.010689248282085097,0.1748108558339696,0.38515999167071563,0.1766502394669258
512,Palm Springs High,1,0,29.0,5.0,55757,13877,0.008888493844718013,0.2307453002088796,0.32105239767121463,0.160126216612595
513,Highland High,1,0,36.0,5.0,93637,15683,0.024758745476477682,0.25419179734620023,0.2741556091676719,0.09493365500603136
514,Henry M. Gunn High,1,0,266.0,48.0,167043,10641,0.0018377660932155802,0.040737148399612025,0.32023074174281485,0.539282250242483
515,Palo Alto High,1,0,280.0,41.0,169270,7102,0.0074519047981142115,0.0591589993156414,0.3046916584290168,0.534484069652498
516,Foothill High,1,0,15.0,,101576,1619,0.0003114294612270321,0.1793833696667705,0.41295546558704455,0.08315166614761757
517,Panorama High,1,0,26.0,3.0,48933,20340,0.06629869989866541,0.2992604730385287,0.19943511351631055,0.02677820659321705
518,Paramount High,1,0,60.0,5.0,57313,14156,0.07205186505254102,0.32885761691144844,0.15012597554230936,0.03816137159712407
519,Blair High,1,0,16.0,,84782,10657,0.01072145346994824,0.1379000739410584,0.39104256892362943,0.2795500158445125
520,Marshall Fundamental,1,0,39.0,12.0,78285,13630,0.02322931598485684,0.20057338185025914,0.300694674164737,0.21553276730253243
521,John Muir High,1,0,20.0,,71600,8485,0.04474749627104198,0.24509908374174302,0.2409972299168975,0.15587044534412955
522,Pasadena High,1,0,59.0,8.0,100866,12971,0.020123717798136403,0.12763291833059276,0.3920209850442409,0.25025448281262236
