,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
884,Crean Lutheran High School,0,0,107.0,38.0,112054,20645,0.0034146081203649363,0.09488875846982874,0.4698020594355226,0.2905084564904231
885,Pacific Academy,0,0,21.0,5.0,112543,9547,0.024702842377260982,0.10372093023255814,0.4337984496124031,0.25689922480620153
886,Marin Catholic,0,0,62.0,13.0,135972,5599,0.005202372281760482,0.07720320466132556,0.44324211840599315,0.3405472895640412
887,St. Francis High School,0,0,61.0,38.0,170571,6329,0.006303299962921765,0.06889136077122729,0.4278086763070078,0.36440489432703005
888,Whittier Christian High,0,0,33.0,8.0,86973,21548,0.01981559023812545,0.24603476716152772,0.2947806961891469,0.10612020471175401
889,La Jolla Country Day School,0,0,42.0,16.0,113676,16657,0.003914239368079555,0.07264264052471965,0.379222794273221,0.41117145073700545
890,Bishop Amat Memorial High,0,0,71.0,35.0,77740,6819,0.05274146244469852,0.3440373813192822,0.17134761644380375,0.03434905801063777
891,Monterey Bay Academy,0,0,7.0,,76010,23451,0.047936186859530945,0.2559204625689369,0.19266072553098104,0.07888861324733316
892,Damien High School,0,0,74.0,24.0,93166,12381,0.012841091492776886,0.20434621558217064,0.3441577149442318,0.1531464789891756
893,Saint Joseph High School,0,0,36.0,11.0,108311,8996,0.009296281487405038,0.26004598160735704,0.30327868852459017,0.09551179528188725
894,Paraclete High School,0,0,30.0,11.0,84674,21462,0.017471648766265783,0.286792291036937,0.2571012069372092,0.0991489270478273
895,Loma Linda Academy,0,0,24.0,7.0,59320,8202,0.007904906897763204,0.17911933481672326,0.3533786157629699,0.21091462700550415
896,Saint Anthony High School,0,0,32.0,9.0,60939,20841,0.03582718651211802,0.14923603793466808,0.33061116965226556,0.15792939936775552
897,Pinewood Private–Upper Campus,0,0,17.0,6.0,250000,7170,0.0030717676626640603,0.04300474727729684,0.35744205529181794,0.5317648701480033
898,The Archer School for Girls,0,0,25.0,,133032,16375,0.0013905661067808394,0.05437845354411388,0.43894316975884656,0.3852234054232078
899,Bishop Conaty–Our Lady of Loretto High School,0,0,16.0,4.0,37375,19149,0.06951070260009491,0.25119264680170844,0.19239703274471115,0.04608237380423109
900,Bishop Mora Salesian High School,0,0,15.0,6.0,45991,11573,0.07843280849505675,0.29307945807396557,0.09714390333211279,0.01669718051995606
901,Cathedral High School,0,0,37.0,9.0,49905,13558,0.04300750871547332,0.21175248055779028,0.27178868329310807,0.12841914722445696
