,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
64,Burbank High,1,0,103.0,19.0,53580,5181,0.02814058418427927,0.18000474946568512,0.4014485870339587,0.1167181192115887
65,Burroughs High,1,0,97.0,20.0,85086,7544,0.02292910176153734,0.17608094336875818,0.4243703595865483,0.10649293929247343
66,Burlingame High,1,0,153.0,22.0,158316,15899,0.013492010873168469,0.09205728303387921,0.4113903069681098,0.3444606510641119
67,Calabasas High,1,0,130.0,47.0,149724,9949,0.002849002849002849,0.10105896898349728,0.4097188625490512,0.30247809493092515
68,Calexico High,1,0,69.0,26.0,42739,9362,0.058802352094083764,0.24408976359054363,0.23564942597703908,0.03624144965798632
69,Adolfo Camarillo High,1,0,76.0,22.0,106388,12797,0.0049005357365339095,0.16462477677644421,0.408239544831596,0.17355371900826447
70,Rancho Campana High,1,0,39.0,14.0,95836,15705,0.009180969207470975,0.17017920242301868,0.3592251388187784,0.15109162039374052
71,Westmont High,1,0,85.0,9.0,121231,18038,0.012997051329764392,0.1696773639460651,0.41101027740402507,0.20483238384243221
72,Canyon High,1,0,60.0,19.0,85755,9613,0.015071956437183976,0.2651205756514975,0.2920070011668611,0.07827693504472967
73,Carlsbad High,1,0,132.0,62.0,86046,11340,0.0049,0.148,0.41225,0.22205
74,Sage Creek High,1,0,104.0,41.0,102793,6064,0.027246925260170293,0.12488174077578051,0.41248817407757804,0.2076631977294229
75,Carmel High,1,0,58.0,18.0,108424,5375,0.003639149588201494,0.11760199195556406,0.3789503926450872,0.291802336717104
76,Academy of Medical Arts at Carson High,1,0,27.0,8.0,86981,14495,0.0433266017991555,0.24931154764090324,0.29266437619659574,0.057777544651053
78,Castro Valley High,1,0,205.0,29.0,101445,15922,0.02244662084068374,0.21500699555934058,0.3520895431595596,0.14015451061500092
79,North Monterey County High,1,0,20.0,7.0,69528,2359,0.09304738844690419,0.2416118989968869,0.13161535800760982,0.025077827741265997
80,Cathedral City High,1,0,37.0,15.0,50350,19716,0.039168937329700275,0.31877488996017606,0.22387864179417313,0.08811045902326556
81,Ceres High,1,0,25.0,12.0,61287,12681,0.04367930568400085,0.39350501529487086,0.13487941950629578,0.01913637333712741
82,Cerritos High,1,0,182.0,38.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
83,Gahr (Richard) High,1,0,59.0,18.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
84,Whitney (Gretchen) High,1,0,117.0,60.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
85,Chatsworth Charter High,1,1,36.0,19.0,96432,14281,0.014166363966581911,0.20879701482680052,0.3712644057722154,0.1457253244394545
86,Pleasant Valley High,1,0,31.0,7.0,51838,15724,0.012375571697605597,0.16469374943951215,0.35808447672854454,0.16052371984575375
87,Chino High,1,0,32.0,11.0,86702,23292,0.019386615052951264,0.2793277628286834,0.25455947379187716,0.06245574281263277
88,Don Antonio Lugo High,1,0,24.0,7.0,86702,23292,0.019386615052951264,0.2793277628286834,0.25455947379187716,0.06245574281263277
89,Chino Hills High,1,0,170.0,52.0,104661,25874,0.011750066660741267,0.17680206203892987,0.42008710336858945,0.1637721091458537
90,Ruben S. Ayala High,1,0,191.0,47.0,104661,25874,0.011750066660741267,0.17680206203892987,0.42008710336858945,0.1637721091458537
91,Chula Vista Learning Community Charter,1,1,30.0,13.0,65074,25145,0.028334427001833997,0.3098615247421466,0.20505443103999463,0.05030875103057224
92,Bonita Vista Senior High,1,0,136.0,74.0,113415,14899,0.03556472658857802,0.1901438368635067,0.38675122898585906,0.12687382411846818
93,Castle Park Senior High,1,0,53.0,33.0,65074,25145,0.028334427001833997,0.3098615247421466,0.20505443103999463,0.05030875103057224
94,Chula Vista Senior High,1,0,38.0,14.0,65074,25145,0.028334427001833997,0.3098615247421466,0.20505443103999463,0.05030875103057224
95,Chula Vista Senior High,1,0,75.0,29.0,65074,25145,0.028334427001833997,0.3098615247421466,0.20505443103999463,0.05030875103057224
96,Eastlake High,1,0,204.0,80.0,125864,9062,0.007139713433419727,0.15726930412245096,0.44276003716563156,0.13428529512445597
97,High Tech High Chula Vista,1,1,65.0,25.0,125864,9062,0.007139713433419727,0.15726930412245096,0.44276003716563156,0.13428529512445597
98,Hilltop Senior High,1,0,79.0,34.0,70283,24599,0.021620664555094333,0.2570085184237965,0.26735653439830026,0.08121028506226516
99,Olympian High,1,0,206.0,64.0,113415,14899,0.03556472658857802,0.1901438368635067,0.38675122898585906,0.12687382411846818
100,Otay Ranch Senior High,1,0,156.0,56.0,113415,14899,0.03556472658857802,0.1901438368635067,0.38675122898585906,0.12687382411846818
101,William Workman High,1,0,24.0,9.0,74100,18821,0.05719924675889042,0.35664880133265736,0.15577243427247048,0.025657275295140145
102,Claremont High,1,0,108.0,32.0,100598,12211,0.010027043894320782,0.126190971499896,0.34674433118369047,0.3021427085500312
103,Buchanan High,1,0,63.0,22.0,98228,15819,0.014374233321800396,0.211367282106124,0.3418047997986978,0.132481992891517
104,Colton High,1,0,32.0,14.0,58589,18047,0.027929408023742646,0.3234405638878584,0.19169007366580104,0.0736393025597541
105,Compton Early College High,1,0,27.0,10.0,57101,8439,0.06017725853560278,0.3497834625843489,0.1192970087622117,0.02593413233961124
106,Dominguez High,1,0,39.0,13.0,53683,12074,0.0650810245687402,0.3355658651332985,0.09690277051751175,0.01052012545739676
107,Clayton Valley Charter High,1,1,88.0,19.0,104141,15977,0.007617884349586963,0.1965864163800585,0.4020442930153322,0.13284690302465366
108,Concord High,1,0,18.0,4.0,104141,15977,0.007617884349586963,0.1965864163800585,0.4020442930153322,0.13284690302465366
109,Centennial High,1,0,124.0,44.0,119023,9318,0.011606036974173128,0.22601954218083398,0.32157438414606176,0.1270700490848204
110,Corona High,1,0,48.0,16.0,85819,20790,0.020902434445209336,0.29499134280409706,0.28088950080313746,0.07476479546070884
111,Santiago High,1,0,199.0,56.0,119023,9318,0.011606036974173128,0.22601954218083398,0.32157438414606176,0.1270700490848204
112,Coronado High,1,0,70.0,28.0,108992,8672,0.005427491157458227,0.0889132821075741,0.40992804000487865,0.3212586900841566
113,Costa Mesa High,1,0,32.0,8.0,95175,19114,0.023567666344190046,0.17209502311082447,0.3947382564764055,0.1256046436633344
114,Early College High,1,0,12.0,3.0,95175,19114,0.023567666344190046,0.17209502311082447,0.3947382564764055,0.1256046436633344
115,Charter Oak High,1,0,49.0,17.0,84679,8448,0.015372750642673521,0.25470437017994857,0.3394858611825193,0.08848329048843187
116,Covina High,1,0,47.0,21.0,70428,5802,0.01831849995679599,0.3334485440248855,0.19001123304242634,0.07120020737924479
117,Del Norte High,1,0,4.0,,48635,8364,0.02107313617850186,0.37034413552918954,0.17065108317100525,0.05566377427542648
118,John Swett High,1,0,8.0,3.0,89630,1434,0.010808646917534028,0.19735788630904724,0.3742994395516413,0.1433146517213771
119,Culver City High,1,0,140.0,28.0,87469,13670,0.017926637409952803,0.14337169826943777,0.3353067814854682,0.2537467914217107
120,Cupertino High,1,0,308.0,58.0,179702,21199,0.009421459723862076,0.05811908146791644,0.3860388906291415,0.46220572998241005
121,Homestead High,1,0,310.0,52.0,179702,21199,0.009421459723862076,0.05811908146791644,0.3860388906291415,0.46220572998241005
122,Monta Vista High,1,0,427.0,81.0,179702,21199,0.009421459723862076,0.05811908146791644,0.3860388906291415,0.46220572998241005
123,Cypress High,1,0,216.0,40.0,102263,15933,0.02862494877948838,0.1721887256336709,0.39796874085348005,0.16656910378739098
124,Oxford Academy,1,0,139.0,49.0,102263,15933,0.02862494877948838,0.1721887256336709,0.39796874085348005,0.16656910378739098
125,Jefferson High,1,0,21.0,6.0,98879,14171,0.05219846067804735,0.2578763748701696,0.33460278569336066,0.07653998774934086
126,Summit Public School: Shasta,1,1,46.0,10.0,100208,20542,0.024190562389435143,0.20208170485868268,0.41597070802649444,0.09388242070185543
127,Westmoor High,1,0,35.0,11.0,100208,20542,0.024190562389435143,0.20208170485868268,0.41597070802649444,0.09388242070185543
128,Dana Hills High,1,0,124.0,33.0,105014,11595,0.012562448464859096,0.12625503225493526,0.42983945287869235,0.2257360430712519
129,Monte Vista High,1,0,220.0,37.0,163801,12647,0.004783258594917788,0.09122357463164638,0.4893444373265001,0.24151185137732223
130,San Ramon Valley High,1,0,129.0,32.0,163801,12647,0.004783258594917788,0.09122357463164638,0.4893444373265001,0.24151185137732223
131,Davis Senior High,1,0,234.0,62.0,61213,17999,0.0027610008628127696,0.06993097497842968,0.3609577221742882,0.4339948231233822
132,Cesar E. Chavez High,1,0,33.0,16.0,46752,12230,0.05678215085667743,0.323617534979783,0.10059051109753614,0.01378828868138581
133,Delano High,1,0,18.0,9.0,46752,12230,0.05678215085667743,0.323617534979783,0.10059051109753614,0.01378828868138581
134,Wonderful College Prep Academy,1,1,16.0,9.0,46752,12230,0.05678215085667743,0.323617534979783,0.10059051109753614,0.01378828868138581
135,Diamond Bar High,1,0,311.0,102.0,101161,14874,0.024235975645800083,0.14940592303599928,0.435419991724301,0.19403558550570432
136,Dinuba High,1,0,22.0,11.0,46804,8294,0.057888895379403005,0.30398971902564403,0.15993924878789648,0.03715170278637771
137,Dixon High,1,0,16.0,4.0,80080,7521,0.02828038182077219,0.27589400199458614,0.22104288360165267,0.06710357600797834
138,Downey High,1,0,129.0,51.0,72274,13304,0.03094423123465754,0.28250873007640975,0.2500086436400097,0.07959063720914152
139,Warren (Earl) High,1,0,121.0,56.0,72274,13304,0.03094423123465754,0.28250873007640975,0.2500086436400097,0.07959063720914152
140,California School of the Arts - San Gabriel Valley,1,1,51.0,15.0,83051,7963,0.030566297610849183,0.25703236743126556,0.27901679292260423,0.10012184139428934
141,Duarte High,1,0,12.0,6.0,83051,7963,0.030566297610849183,0.25703236743126556,0.27901679292260423,0.10012184139428934
142,Dublin High,1,0,343.0,54.0,148083,19065,0.010281480734823475,0.12136179220321044,0.44250686692034374,0.27147645087316985
143,Eleanor Roosevelt High,1,0,232.0,60.0,109438,18125,0.01858246251703771,0.1963652885052249,0.3640390731485688,0.11717401181281235
144,Desert Junior-Senior High,1,0,10.0,5.0,63314,1197,0.009341429238673517,0.1994395142456796,0.2877160205511443,0.1625408687529192
145,El Cajon Valley High,1,0,59.0,11.0,60510,22714,0.02988667348329925,0.3409807430129516,0.22198790047716427,0.05212593728698023
146,Granite Hills High,1,0,82.0,33.0,85067,14727,0.021411447899904765,0.23578864405109848,0.3201865291780237,0.12715510163869823
147,Grossmont Middle College High,1,0,13.0,5.0,61830,19032,0.041647361647361644,0.2730759330759331,0.24702702702702703,0.08308880308880309
148,Grossmont Secondary,1,1,4.0,,61830,19032,0.041647361647361644,0.2730759330759331,0.24702702702702703,0.08308880308880309
149,Valhalla High,1,0,99.0,37.0,85067,14727,0.021411447899904765,0.23578864405109848,0.3201865291780237,0.12715510163869823
150,Central Union High,1,0,27.0,7.0,47614,13146,0.038536601501769706,0.25526777149283847,0.16982567563097484,0.06390790909993053
151,Southwest High,1,0,59.0,24.0,47614,13146,0.038536601501769706,0.25526777149283847,0.16982567563097484,0.06390790909993053
152,El Cerrito High,1,0,83.0,21.0,107621,10499,0.0189642965510266,0.11924749671285527,0.391170223525842,0.3127844644482654
153,Oak Ridge High,1,0,147.0,28.0,136203,14987,0.005069622820062188,0.1299513316209274,0.4472421251858862,0.2007908611599297
154,Arroyo High,1,0,86.0,20.0,56098,15466,0.08911256583156962,0.33452281340749124,0.17224491804892456,0.02237042870502535
155,El Monte High,1,0,68.0,25.0,48723,8122,0.08702749579146049,0.3103096464826812,0.16573993776462786,0.022700607049941337
156,Mountain View High,1,0,24.0,8.0,56098,15466,0.08911256583156962,0.33452281340749124,0.17224491804892456,0.02237042870502535
157,Da Vinci Design,1,1,32.0,7.0,115846,6645,0.006639004149377593,0.1249792531120332,0.4004149377593361,0.2191701244813278
158,Da Vinci Science,1,1,41.0,12.0,115846,6645,0.006639004149377593,0.1249792531120332,0.4004149377593361,0.2191701244813278
159,El Segundo High,1,0,65.0,19.0,115846,6645,0.006639004149377593,0.1249792531120332,0.4004149377593361,0.2191701244813278
160,Cosumnes Oaks High,1,0,81.0,25.0,108507,14415,0.02476958525345622,0.1774193548387097,0.37733446519524616,0.13536866359447006
161,Elk Grove High,1,0,32.0,4.0,100453,20006,0.03547548291233284,0.22462388558692423,0.31382336552748885,0.09839338781575037
162,Franklin High,1,0,147.0,39.0,108507,14415,0.02476958525345622,0.1774193548387097,0.37733446519524616,0.13536866359447006
163,Monterey Trail High,1,0,72.0,17.0,100453,20006,0.03547548291233284,0.22462388558692423,0.31382336552748885,0.09839338781575037
164,Pleasant Grove High,1,0,66.0,15.0,100453,20006,0.03547548291233284,0.22462388558692423,0.31382336552748885,0.09839338781575037
165,San Dieguito HS Academy,1,0,134.0,50.0,125458,19371,0.009749488616741492,0.10365805063358394,0.4451026751321627,0.2583216002975321
166,Classical Academy High,1,1,55.0,25.0,56866,16325,0.03411359099981855,0.25576120486300125,0.2251255065626323,0.08994132946228754
167,Del Lago Academy - Campus of Applied Science,1,0,73.0,29.0,96690,7332,0.00849682232660956,0.14707101409229068,0.3601132909643548,0.1758773141751865
