,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
206,Hayward High,1,0,38.0,34.0,82690,21187,0.03501192855761171,0.2699937670599867,0.28482386571238205,0.08388677542072345
207,Impact Academy of Arts & Technology,1,1,16.0,16.0,88764,9668,0.029421570261710286,0.2820470078346391,0.31463577262877146,0.0848058009668278
208,Leadership Public Schools - Hayward,1,1,13.0,13.0,88764,9668,0.029421570261710286,0.2820470078346391,0.31463577262877146,0.0848058009668278
209,Hemet High,1,0,15.0,11.0,53885,15298,0.025051140833988985,0.3451455546813533,0.15367427222659324,0.05579858379228954
210,Hercules High,1,0,14.0,11.0,110669,8980,0.022606946209233376,0.1848792884371029,0.3923655230834392,0.14776577721304532
211,Hesperia High,1,0,17.0,15.0,51712,24572,0.02290601651592607,0.41561148250098306,0.14380652772316163,0.030003932363350375
212,Hilmar High,1,0,12.0,11.0,70045,2811,0.023982945461005507,0.3343400248712027,0.18298099129507905,0.039083318529046014
213,San Andreas Continuation High,1,0,24.0,19.0,86047,15932,0.035168636494667053,0.28051311617180746,0.23753243009512828,0.05139809743441914
214,Hughson High,1,0,16.0,15.0,75388,3875,0.0041571100917431195,0.35736811926605505,0.21788990825688073,0.06579701834862385
215,Huntington Beach High,1,0,18.0,18.0,97470,19407,0.01955777377981545,0.17686147060530438,0.37159770181649354,0.17509140502582554
216,Ocean View High,1,0,7.0,7.0,91331,21520,0.02669153885127355,0.21330201280456912,0.3328266777209709,0.13244438303164294
217,Alliance Collins Family College-Ready High,1,1,18.0,17.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
218,Alliance Margaret M. Bloomfield Technology Academy High,1,1,25.0,24.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
219,Aspire Ollin University Preparatory Academy,1,1,12.0,11.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
220,Huntington Park Senior High,1,0,12.0,9.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
221,Huntington Park Senior High,1,0,34.0,32.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
222,Linda Esperanza Marquez High B LIBRA Academy,1,0,9.0,8.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
223,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,1,0,7.0,7.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
224,Indio High,1,0,41.0,35.0,44215,24793,0.029161847139425216,0.4094892784055521,0.1368449150280274,0.04715722039327342
225,Animo City of Champions Charter High,1,1,8.0,7.0,88910,5927,0.028489326765188835,0.2482758620689655,0.2827586206896552,0.16009852216748768
226,Animo Inglewood Charter High,1,1,24.0,24.0,88910,5927,0.028489326765188835,0.2482758620689655,0.2827586206896552,0.16009852216748768
227,Animo Leadership High,1,1,35.0,33.0,51498,12254,0.05301455301455302,0.2717332717332717,0.19003619003619004,0.04115654115654116
228,Arnold O. Beckman High,1,0,56.0,51.0,101459,7878,0.015947936780376173,0.06114567689337052,0.3981262962168347,0.35664735750554244
229,Northwood High,1,0,46.0,39.0,116650,17026,0.018593840790238233,0.096363803174409,0.45405058258662345,0.30762408636349736
230,Portola High,1,0,43.0,43.0,112054,20645,0.0034146081203649363,0.09488875846982874,0.4698020594355226,0.2905084564904231
231,University High,1,0,56.0,46.0,74672,12571,0.009187570971404976,0.09001754929286673,0.47574068339011044,0.2794466811190255
232,Woodbridge High,1,0,30.0,23.0,112543,9547,0.024702842377260982,0.10372093023255814,0.4337984496124031,0.25689922480620153
233,Argonaut High,1,0,3.0,,63453,2947,0.008167141500474834,0.3925925925925926,0.298005698005698,0.04482431149097816
234,Rubidoux High,1,0,15.0,12.0,76568,18757,0.05063568174131036,0.3477646684307913,0.1565627424842323,0.04297566701816518
235,Kerman High,1,0,17.0,16.0,62706,5491,0.0638316004772456,0.2981080620419294,0.14922447588205215,0.022669166524629282
236,Kingsburg High,1,0,6.0,5.0,72786,5049,0.032044414142397976,0.27778318885750464,0.276516996201422,0.08025713450861985
237,La Canada High,1,0,21.0,20.0,170571,6329,0.006303299962921765,0.06889136077122729,0.4278086763070078,0.36440489432703005
