,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
1064,United Christian Academy,0,0,14.0,,74943,24954,0.0177193709425995,0.22330748436235917,0.313581562382841,0.10276445865151246
1065,Palm Valley School,0,0,7.0,,84891,9637,0.010676156583629894,0.18315539739027284,0.2826809015421115,0.21429418742586
1066,Immanuel Schools,0,0,10.0,,52642,8738,0.04070209759808716,0.2774154983154005,0.1978045864579937,0.04119117487229649
1067,Salesian High School d/b/a Salesian College Preparatory,0,0,24.0,4.0,63764,14466,0.031398974873651384,0.26413133087207424,0.26026022438080215,0.10849851249148715
1068,La Sierra Academy,0,0,19.0,,71139,14326,0.025176652217801795,0.3133721275458702,0.21830651386497238,0.059408586188468615
1069,Notre Dame High School,0,0,35.0,4.0,101670,14660,0.023417582071700607,0.20323565515721884,0.29448238960057915,0.1851059141984829
1070,Woodcrest Christian School,0,0,15.0,3.0,121021,10110,0.01318383440118285,0.2021110563495975,0.297765730244784,0.17225234105470674
1071,Don Bosco Technical Institute,0,0,27.0,,61394,16887,0.12605375822041753,0.298494946374189,0.24464845301672772,0.043121331155934146
1072,The Branson School,0,0,54.0,10.0,250000,410,0.014270032930845226,0.02854006586169045,0.47859495060373214,0.3534577387486279
1073,Capital Christian School,0,0,8.0,,63936,7335,0.027844693212413205,0.2887912710783619,0.2717868782768882,0.06121581408530537
1074,Christian Brothers High School,0,0,73.0,4.0,55003,13187,0.04666639777356512,0.2757633202920179,0.2298632678578631,0.08631468559674102
1075,Sacramento Country Day School,0,0,20.0,4.0,107115,9767,0.010249803965497928,0.14181695978492215,0.3920129942869945,0.262294163772824
1076,St. Francis Catholic High School,0,0,94.0,11.0,113879,8104,0.0024424542964991487,0.10021463992302568,0.44275035156539116,0.2847309599585523
1077,Palma High School,0,0,24.0,,72434,10077,0.024567692956558414,0.22864824968367778,0.27904892450442853,0.0984289329396879
1078,San Domenico High School,0,0,43.0,3.0,148163,6381,0.0017131007122892436,0.06302407357316743,0.48588945992245963,0.31818591650888106
1079,Academy of Our Lady of Peace,0,0,98.0,13.0,78697,16260,0.010558798379001375,0.12499535264155853,0.40562144477079226,0.23184741792764993
1080,Children's Creative and Performing Arts Academy,0,0,139.0,22.0,73447,21873,0.010504084921914078,0.12791085422108597,0.4222753292947257,0.1822375368198744
1081,St. Augustine High School,0,0,48.0,6.0,73447,21873,0.010504084921914078,0.12791085422108597,0.4222753292947257,0.1822375368198744
1082,San Diego Jewish Academy,0,0,21.0,3.0,157333,20464,0.005519437441953032,0.05328379992039273,0.36383176330104816,0.4634469948255274
1083,Archbishop Riordan High School,0,0,34.0,3.0,105340,23090,0.06252951301619217,0.23671343051683955,0.31528279181708785,0.09273560907249158
1084,The Bay School of San Francisco,0,0,39.0,6.0,198194,1291,0.0,0.052611940298507465,0.46380597014925373,0.3895522388059702
1085,Academy of Thought and Industry San Francisco,0,0,34.0,8.0,125550,17000,0.007690918938436541,0.09637118613468135,0.44220978515977616,0.3122946380213035
1086,Immaculate Conception Academy,0,0,25.0,3.0,138890,27069,0.02375780381424784,0.13317369366287524,0.3865560591807064,0.24636962285127853
1087,French American International School,0,0,64.0,8.0,53539,19089,0.027008729734544806,0.1781222162836273,0.3331551754854801,0.2016390522002494
1088,Jewish Community High School of the Bay,0,0,26.0,4.0,125550,17000,0.007690918938436541,0.09637118613468135,0.44220978515977616,0.3122946380213035
1089,Lick-Wilmerding High School,0,0,86.0,14.0,105340,23090,0.06252951301619217,0.23671343051683955,0.31528279181708785,0.09273560907249158
1090,Lycee Francais de San Francisco (Ortega),0,0,21.0,5.0,122144,22647,0.03519073625426025,0.13224243419701884,0.4411366156120396,0.21718063482938446
1091,Sacred Heart Cathedral Preparatory,0,0,112.0,13.0,98567,33011,0.0160193779514737,0.09837567171470445,0.44451229441459045,0.2774995929001791
1092,San Francisco University High School,0,0,57.0,8.0,125550,17000,0.007690918938436541,0.09637118613468135,0.44220978515977616,0.3122946380213035
1093,"Convent & Stuart Hall, Schools of the Sacred Heart - San Francisco",0,0,31.0,6.0,125550,17000,0.007690918938436541,0.09637118613468135,0.44220978515977616,0.3122946380213035
1094,Urban School of San Francisco,0,0,52.0,7.0,167807,17871,0.009747937936205802,0.06512083982234528,0.517736632635404,0.29396666089865603
1095,San Gabriel Academy,0,0,14.0,,65563,11626,0.09965564738292011,0.28760330578512394,0.28956611570247937,0.0731060606060606
1096,Archbishop Mitty High,0,0,231.0,33.0,157747,13956,0.0043118808352932796,0.09831801012044758,0.38742783835792177,0.4044259140474663
1097,BASIS Independent Silicon Valley,0,0,83.0,17.0,108503,14843,0.020147652471178674,0.13703313088700586,0.37502272975233664,0.2487907771756919
1098,Bellarmine College Preparatory,0,0,165.0,17.0,108503,14843,0.020147652471178674,0.13703313088700586,0.37502272975233664,0.2487907771756919
1099,Cristo Rey San Jose Jesuit High School,0,0,16.0,,70656,14072,0.06442721791559002,0.2971576227390181,0.18748205569910997,0.04886592018374964
1100,"Harker School, The",0,0,157.0,26.0,157747,13956,0.0043118808352932796,0.09831801012044758,0.38742783835792177,0.4044259140474663
1101,Notre Dame High School San Jose,0,0,70.0,8.0,74019,20607,0.03632675640789231,0.20476278285608915,0.29967598324596295,0.15381575827823293
1102,Presentation High School,0,0,93.0,7.0,121428,21335,0.015547452648637699,0.15517066747695735,0.39058543502481513,0.2273371822141193
1103,BASIS Independent Silicon Valley,0,0,169.0,19.0,108503,14843,0.020147652471178674,0.13703313088700586,0.37502272975233664,0.2487907771756919
1104,JSerra Catholic High School,0,0,98.0,15.0,105524,13592,0.030297390851230132,0.18666021513380726,0.3251200357315666,0.15725611344772397
1105,St. Margaret's Episcopal School,0,0,64.0,8.0,105524,13592,0.030297390851230132,0.18666021513380726,0.3251200357315666,0.15725611344772397
1106,Junipero Serra High School,0,0,52.0,6.0,139631,16506,0.014490973842564165,0.1416247083384502,0.3975807441974702,0.25770600515780423
1107,Mary Star of the Sea High School,0,0,37.0,,56881,22843,0.01614568666103445,0.3001736600018774,0.2344644701023186,0.08281704684126537
1108,Rolling Hills Preparatory Schools,0,0,15.0,,101738,9064,0.008600917431192661,0.22161697247706422,0.3768922018348624,0.13996559633027522
1109,Calvary Chapel Schools,0,0,17.0,,76136,20324,0.0699523893493211,0.2785399400458473,0.19222359372244754,0.050802327631810966
