,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
260,Kingsburg High,1,0,17.0,4.0,72786,5049,0.032044414142397976,0.27778318885750464,0.276516996201422,0.08025713450861985
261,La Canada High,1,0,145.0,16.0,170571,6329,0.006303299962921765,0.06889136077122729,0.4278086763070078,0.36440489432703005
262,Anderson W. Clark Magnet High,1,0,80.0,14.0,108583,10575,0.008058913436153952,0.1511741003195776,0.40817933398175166,0.2096243805289241
263,Crescenta Valley High,1,0,216.0,38.0,108583,10575,0.008058913436153952,0.1511741003195776,0.40817933398175166,0.2096243805289241
264,Sonora High,1,0,90.0,25.0,86973,21548,0.01981559023812545,0.24603476716152772,0.2947806961891469,0.10612020471175401
265,La Jolla High,1,0,127.0,41.0,113676,16657,0.003914239368079555,0.07264264052471965,0.379222794273221,0.41117145073700545
266,Preuss School UCSD,1,1,55.0,31.0,113676,16657,0.003914239368079555,0.07264264052471965,0.379222794273221,0.41117145073700545
267,Grossmont High,1,0,55.0,5.0,66551,16463,0.006810011061946903,0.2012928650442478,0.34845132743362833,0.1346100663716814
268,Helix High,1,1,93.0,30.0,94111,11995,0.009630886720407298,0.1766652524395418,0.33877810776410694,0.1704285108188375
269,La Mirada High,1,0,69.0,9.0,92508,14903,0.016898337421640774,0.24348142091396385,0.32827594561036916,0.11680445776929832
270,John F. Kennedy High,1,0,116.0,29.0,107956,4925,0.01066526794300201,0.18996415770609318,0.4087769909957164,0.16129032258064516
271,Bonita High,1,0,91.0,21.0,93166,12381,0.012841091492776886,0.20434621558217064,0.3441577149442318,0.1531464789891756
272,Acalanes High,1,0,79.0,11.0,185950,10830,0.0043409058023440895,0.056817633724014854,0.45468576665219695,0.3361308059615106
273,Laguna Hills High,1,0,57.0,16.0,104571,10475,0.014638188178972564,0.16622169029644632,0.4284662124838888,0.17547412999447615
274,Birmingham Community Charter High,1,1,142.0,12.0,61880,18685,0.038859257646674646,0.2467073037988462,0.2684771960378796,0.08909328398824426
275,Lakeside High,1,0,45.0,14.0,64270,15010,0.030303030303030304,0.3656196225974859,0.18149736051564733,0.04800653308834252
276,Temescal Canyon High,1,0,71.0,33.0,92288,7145,0.03247962000128378,0.2452660632903267,0.34450221451954555,0.06444572822389114
277,El Toro High,1,0,79.0,23.0,99565,21003,0.021031098443928562,0.1747994575585538,0.37954811869354355,0.14855080791596756
278,PUC Community Charter Middle and PUC Community Charter Early College High,1,1,17.0,5.0,79572,24833,0.05395949025776009,0.3039675151670786,0.20686611241292974,0.052627355310884985
279,Artesia High,1,0,53.0,9.0,74471,6227,0.053529369780886446,0.24223824138177147,0.3201770037827421,0.06423524373706374
280,Lakewood High,1,0,102.0,19.0,108311,8996,0.009296281487405038,0.26004598160735704,0.30327868852459017,0.09551179528188725
281,Mayfair High,1,0,49.0,9.0,108311,8996,0.009296281487405038,0.26004598160735704,0.30327868852459017,0.09551179528188725
282,Antelope Valley High,1,0,16.0,4.0,49304,21129,0.029824999432553283,0.36675216197199084,0.1813105749370134,0.04432893751276755
283,Eastside High,1,0,61.0,8.0,49304,21129,0.029824999432553283,0.36675216197199084,0.1813105749370134,0.04432893751276755
284,Lancaster High,1,0,39.0,8.0,84674,21462,0.017471648766265783,0.286792291036937,0.2571012069372092,0.0991489270478273
285,SOAR High (Students On Academic Rise),1,0,54.0,18.0,84674,21462,0.017471648766265783,0.286792291036937,0.2571012069372092,0.0991489270478273
286,Redwood High,1,0,112.0,26.0,136604,3205,0.0,0.037205620423510784,0.4763506827627152,0.3607757767662775
287,Environmental Charter High - Lawndale,1,1,43.0,6.0,70389,10499,0.05462114204019847,0.2897990076528467,0.2196619291901438,0.06824489109410478
288,Lawndale High,1,0,97.0,17.0,70389,10499,0.05462114204019847,0.2897990076528467,0.2196619291901438,0.06824489109410478
289,Leuzinger High,1,0,102.0,10.0,70389,10499,0.05462114204019847,0.2897990076528467,0.2196619291901438,0.06824489109410478
290,Lemoore Middle College High,1,1,17.0,9.0,65631,12005,0.02209276271566211,0.2893569347972216,0.2398834864440959,0.07174546269325566
291,Lemoore High,1,0,20.0,3.0,65631,12005,0.02209276271566211,0.2893569347972216,0.2398834864440959,0.07174546269325566
292,Lincoln High,1,0,27.0,4.0,88167,20056,0.011485471931719397,0.22338716050683596,0.3285740628539817,0.1298437870445984
293,Granada High,1,0,78.0,14.0,150061,18335,0.011585349798572895,0.16646041233313147,0.40822559835698674,0.18799863082229654
294,Livermore High,1,0,57.0,9.0,150061,18335,0.011585349798572895,0.16646041233313147,0.40822559835698674,0.18799863082229654
295,Tokay High,1,0,18.0,,55933,16499,0.05378697653458654,0.28728232529693887,0.21363504683426143,0.05951652879260952
296,"Ernest S. McBride, Sr. High",1,0,51.0,6.0,111163,13992,0.023632961397186222,0.1798807956199321,0.36863261487282556,0.16775244299674266
297,Cabrillo High,1,0,55.0,6.0,60486,9571,0.07506500041935754,0.3042858341021555,0.2198272246917722,0.031409880063742346
298,Polytechnic High,1,0,194.0,55.0,41175,17167,0.12441170452220177,0.2434739396065363,0.15639159285568124,0.02747814902511035
299,Rancho Dominguez Preparatory,1,0,15.0,,60486,9571,0.07506500041935754,0.3042858341021555,0.2198272246917722,0.031409880063742346
300,Millikan High,1,0,139.0,33.0,100034,14519,0.02705469435507458,0.1292044457443697,0.39529102076630596,0.19797455396314712
301,Eunice Sato Academy of Math & Science,1,0,41.0,5.0,100034,14519,0.02705469435507458,0.1292044457443697,0.39529102076630596,0.19797455396314712
302,Wilson High,1,0,134.0,31.0,52122,15027,0.13665120202446226,0.2050151451248035,0.2731106936083739,0.09175261684751351
303,Del Oro High,1,0,27.0,9.0,103669,5570,0.0034138891384421885,0.21049321714131705,0.3926870901087054,0.13673524391339503
304,Los Alamitos High,1,0,185.0,64.0,109847,8029,0.016937542810884863,0.16893953546298027,0.4079955165327854,0.18375988542250452
305,Los Altos High,1,0,217.0,40.0,250000,7170,0.0030717676626640603,0.04300474727729684,0.35744205529181794,0.5317648701480033
306,Alain Leroy Locke College Preparatory Academy,1,1,40.0,17.0,47468,7527,0.06614699331848552,0.2923162583518931,0.14660356347438752,0.026002227171492205
307,Alexander Hamilton Senior High,1,0,138.0,28.0,80773,26196,0.018279811363125984,0.11621378845721986,0.42279362227711653,0.2442622950819672
308,Alliance Cindy and Bill Simon Technology Academy High,1,1,45.0,21.0,44839,10453,0.044144067071605786,0.3213277440328514,0.12203781332877064,0.025964582085721617
309,Alliance Dr. Olga Mohan High,1,1,41.0,12.0,48743,11180,0.04479303352021949,0.16962901109388048,0.30681140403196944,0.16068233329357032
310,Alliance Judy Ivie Burton Technology Academy High,1,1,45.0,11.0,42220,17542,0.0672898076425023,0.32936218303392745,0.08523061709792103,0.018293974995879734
311,Alliance Ouchi-O'Donovan 6-12 Complex,1,1,40.0,5.0,56285,17740,0.022569549212479632,0.26446804658741174,0.2571661336069036,0.10114054673827771
312,Alliance Cindy and Bill Simon Technology Academy High,1,1,14.0,4.0,44839,10453,0.044144067071605786,0.3213277440328514,0.12203781332877064,0.025964582085721617
313,Alliance Ted K. Tajima High,1,1,48.0,,67435,26807,0.04025279533300924,0.17213417598444336,0.33263976665046185,0.13925133689839572
314,Animo Jackie Robinson High,1,1,62.0,25.0,30530,12248,0.06442844198578855,0.21941914254375508,0.21603319185464256,0.10372454575802376
315,Animo Pat Brown,1,1,51.0,29.0,48011,13689,0.06671522214129644,0.2924107793153678,0.09829570284049527,0.01235251274581209
316,Animo Ralph Bunche Charter High,1,1,29.0,11.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
317,Animo Pat Brown,1,1,27.0,11.0,48011,13689,0.06671522214129644,0.2924107793153678,0.09829570284049527,0.01235251274581209
318,Belmont Senior High,1,0,27.0,,67435,26807,0.04025279533300924,0.17213417598444336,0.33263976665046185,0.13925133689839572
319,Benjamin Franklin Senior High,1,0,57.0,3.0,73152,21077,0.03683200142863521,0.2138711549622751,0.2991204964507344,0.1277512388945935
320,Alain Leroy Locke College Preparatory Academy,1,1,21.0,3.0,47468,7527,0.06614699331848552,0.2923162583518931,0.14660356347438752,0.026002227171492205
321,Jordan High,1,0,13.0,5.0,42245,12961,0.06434253626579317,0.2933685406778528,0.08844174075807207,0.013069055418142924
322,Communication and Technology at Diego Rivera Learning Complex,1,0,18.0,3.0,48011,13689,0.06671522214129644,0.2924107793153678,0.09829570284049527,0.01235251274581209
323,Dr. Maya Angelou Community High,1,0,39.0,18.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
324,Eagle Rock High,1,0,71.0,11.0,90461,10251,0.02286882959933067,0.16677512317560658,0.4137770753927675,0.15287719624430604
325,Esteban Torres East LA Performing Arts Magnet,1,0,12.0,,50913,13873,0.06426682936750051,0.29100206281414337,0.1383828699264941,0.027949678956390365
326,Alain Leroy Locke College Preparatory Academy,1,1,36.0,,47468,7527,0.06614699331848552,0.2923162583518931,0.14660356347438752,0.026002227171492205
327,Francisco Bravo Medical Magnet High,1,0,149.0,18.0,43646,13396,0.07611382005210073,0.2866208002137466,0.13081958453009151,0.031394028455013025
328,Fairfax Senior High,1,0,125.0,15.0,72457,28544,0.0061183181525439325,0.11270586070475665,0.5079584138375195,0.1852516330849204
329,Felicitas and Gonzalo Mendez High,1,0,60.0,3.0,43646,13396,0.07611382005210073,0.2866208002137466,0.13081958453009151,0.031394028455013025
330,Contreras Learning Center-Academic Leadership Community,1,0,19.0,6.0,36870,11938,0.056173262370237655,0.1954471201981346,0.26526848290035304,0.11197765716393529
331,Hollywood Senior High,1,0,66.0,11.0,50253,17114,0.037035580892471005,0.1691763318262237,0.4253194417141734,0.13162964419107528
332,John C. Fremont Senior High,1,0,45.0,21.0,42220,17542,0.0672898076425023,0.32936218303392745,0.08523061709792103,0.018293974995879734
333,John Marshall Senior High,1,0,183.0,40.0,71651,21403,0.02178932561904509,0.16165503330767803,0.42551553915974416,0.18378937869901005
