,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
684,Clairemont High,1,0,17.0,9.0,91347,21213,0.01627250017509864,0.16519972918077183,0.3899329955875143,0.16982233324772955
685,Del Norte High,1,0,182.0,66.0,147827,15300,0.00034859768657898905,0.07089209317065441,0.4859768657898907,0.32232609729044526
686,e3 Civic High,1,1,16.0,7.0,71077,24984,0.009708737864077669,0.12383270283854925,0.3873442501521124,0.21163461284093013
687,Gompers Preparatory Academy,1,1,4.0,,54862,15049,0.03997478768577495,0.23341295116772823,0.2687765392781316,0.08369824840764331
688,Health Sciences High and Middle College,1,1,12.0,5.0,48072,23130,0.07493925224103078,0.27764278275784615,0.20174381802217548,0.04996630796561371
689,Hoover High,1,0,30.0,11.0,56137,21208,0.029767415761860674,0.2107286143141711,0.2952613416379093,0.14272087085823304
690,High Tech High International,1,1,21.0,10.0,114158,7565,0.005410793108358252,0.13826000284778583,0.33276377616403247,0.2963121173287769
691,High Tech High Media Arts,1,1,24.0,12.0,114158,7565,0.005410793108358252,0.13826000284778583,0.33276377616403247,0.2963121173287769
692,High Tech High,1,1,25.0,13.0,114158,7565,0.005410793108358252,0.13826000284778583,0.33276377616403247,0.2963121173287769
693,Madison High,1,0,10.0,5.0,91347,21213,0.01627250017509864,0.16519972918077183,0.3899329955875143,0.16982233324772955
694,Kearny Eng Innov & Design,1,0,9.0,5.0,77249,17174,0.04014957685494981,0.1899232434560126,0.3225180644979897,0.16000787246605
695,Mira Mesa High,1,0,38.0,17.0,99376,25215,0.03676074217051837,0.16860556106213156,0.3705288051889335,0.1713704418592519
696,Mission Bay High,1,0,30.0,15.0,92379,21893,0.007080785323463148,0.08614955476880164,0.5183456710653364,0.22679969960304688
697,Montgomery Senior High,1,0,23.0,11.0,70846,22634,0.03649918197304728,0.31865944778964056,0.2221660004385299,0.03742684140397038
698,Morse High,1,0,12.0,8.0,73090,18276,0.03650608787718369,0.3083959767072525,0.23572260455267338,0.04372683959767072
699,Mt. Carmel High,1,0,80.0,25.0,126371,18664,0.012176757711081109,0.10624156194828123,0.43363796863641085,0.2728216844947554
700,Mt. Everest Academy,1,0,7.0,3.0,91347,21213,0.01627250017509864,0.16519972918077183,0.3899329955875143,0.16982233324772955
701,Urban Corps of San Diego County Charter,1,1,18.0,5.0,77579,11462,0.009266409266409266,0.16617760617760619,0.41343629343629346,0.17003861003861004
702,Henry High,1,0,78.0,26.0,102597,11665,0.006239954618511866,0.1351044719674766,0.40947338564810437,0.21636569915855158
703,Point Loma High,1,0,72.0,38.0,114158,7565,0.005410793108358252,0.13826000284778583,0.33276377616403247,0.2963121173287769
704,Rancho Bernardo High,1,0,95.0,30.0,104501,21109,0.004715426543288123,0.1160603371783496,0.4262137152997845,0.2666751172518697
705,San Diego High,1,0,59.0,22.0,71077,24984,0.009708737864077669,0.12383270283854925,0.3873442501521124,0.21163461284093013
706,San Diego High,1,0,5.0,3.0,71077,24984,0.009708737864077669,0.12383270283854925,0.3873442501521124,0.21163461284093013
707,San Diego High,1,0,7.0,4.0,71077,24984,0.009708737864077669,0.12383270283854925,0.3873442501521124,0.21163461284093013
708,San Ysidro High,1,0,21.0,14.0,70846,22634,0.03649918197304728,0.31865944778964056,0.2221660004385299,0.03742684140397038
709,Scripps Ranch High,1,0,148.0,53.0,137987,12127,0.009377007064868336,0.097495183044316,0.4382359237850567,0.31085420680796405
710,Southwest Senior High,1,0,30.0,10.0,70846,22634,0.03649918197304728,0.31865944778964056,0.2221660004385299,0.03742684140397038
711,Torrey Pines High,1,0,162.0,77.0,157333,20464,0.005519437441953032,0.05328379992039273,0.36383176330104816,0.4634469948255274
712,University City High,1,0,100.0,49.0,81438,19417,0.012974623163518412,0.06318768682821345,0.4168733702219678,0.3763594733829422
713,Westview High,1,0,185.0,75.0,126371,18664,0.012176757711081109,0.10624156194828123,0.43363796863641085,0.2728216844947554
714,San Dimas High,1,0,18.0,4.0,89669,11358,0.00975005164222268,0.20966742408593267,0.3498863871101012,0.14889485643462094
715,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),1,0,8.0,5.0,64479,9015,0.05971973276845364,0.33257291836402153,0.1402965618380316,0.028393351800554016
