,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
68,Beaumont Senior High,1,0,118.0,75.0,86068,17269,0.020364269962701805,0.29694263700961043,0.26489885927418255,0.08690207181944407
69,Bell Senior High,1,0,127.0,103.0,46109,24232,0.06309613611600033,0.3225714525186489,0.09642108792221943,0.01215321431564831
70,Bell Gardens High,1,0,118.0,78.0,46109,24232,0.06309613611600033,0.3225714525186489,0.09642108792221943,0.01215321431564831
71,Bellflower High,1,0,60.0,35.0,63848,22998,0.042512576803006505,0.30397088942355494,0.21530691376190572,0.04664850569684437
72,Carlmont High,1,0,318.0,220.0,159599,10404,0.006629376424280091,0.09483115806919412,0.4261963952765693,0.3227677646571369
73,Benicia High,1,0,93.0,66.0,106739,11496,0.006206139303957608,0.19463407647873204,0.4003914641714804,0.14498496204707118
74,Berkeley High,1,0,469.0,359.0,46735,8670,0.005933852140077821,0.07266536964980545,0.42733463035019453,0.3271400778210117
75,Beverly Hills High,1,0,149.0,82.0,86496,5728,0.003669328728685517,0.09356788258148069,0.4392402331102957,0.28663932657025687
76,Biggs High,1,0,3.0,3.0,67730,1135,0.01948051948051948,0.3774891774891775,0.1632034632034632,0.010822510822510822
77,Bishop Union High,1,0,22.0,14.0,64330,5985,0.004498337570897712,0.32114218658321925,0.2670643457852533,0.11275180911402308
78,Bloomington High,1,0,135.0,87.0,63529,7748,0.03422865381534682,0.33545148715757994,0.141827308164682,0.040049126929032945
79,Palo Verde High,1,0,13.0,11.0,43822,5788,0.03235238034704125,0.3448801881395792,0.1229263331850251,0.020275853301976735
80,Bonsall High,1,0,13.0,8.0,89201,1849,0.005795421616922631,0.18603303390321646,0.3028107794842075,0.165169516082295
81,Anderson Valley Junior-Senior High,1,0,11.0,7.0,43864,402,0.0,0.25,0.23933649289099526,0.08886255924170616
82,Brawley Union High,1,0,44.0,30.0,47367,7325,0.044763676008465335,0.2612069518373629,0.19624190341820047,0.038991855319694735
83,Brea Olinda High,1,0,131.0,83.0,96700,13902,0.006279377203290247,0.18544359576968272,0.3683901292596945,0.16983695652173914
84,Heritage High,1,0,143.0,98.0,112302,21300,0.00867491290013328,0.22168962050178875,0.34248369069609746,0.11099679659550588
85,Liberty High,1,0,108.0,67.0,112302,21300,0.00867491290013328,0.22168962050178875,0.34248369069609746,0.11099679659550588
86,Buena Park High,1,0,71.0,46.0,72000,10224,0.01753628196268141,0.25285072563925365,0.30243607463718036,0.08120248790601244
87,Burbank High,1,0,178.0,81.0,53580,5181,0.02814058418427927,0.18000474946568512,0.4014485870339587,0.1167181192115887
88,Burroughs High,1,0,159.0,86.0,85086,7544,0.02292910176153734,0.17608094336875818,0.4243703595865483,0.10649293929247343
89,Burlingame High,1,0,198.0,118.0,158316,15899,0.013492010873168469,0.09205728303387921,0.4113903069681098,0.3444606510641119
