,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
735,Fremont High,1,0,150.0,94.0,168228,19605,0.00459097444693893,0.09444290290845798,0.3895265242287415,0.39888504906288624
736,Summit Public School: Denali,1,1,31.0,20.0,130164,8351,0.029125126022179905,0.1746387364176095,0.3299540719166573,0.25658115828385797
737,Lassen High,1,0,5.0,5.0,56458,4814,0.005356377660334238,0.38023139551492646,0.1449792886730467,0.030209970004285103
738,Taft Union High,1,0,4.0,,45655,6485,0.03844752186588921,0.40060131195335275,0.10896501457725948,0.023596938775510203
739,North Tahoe High,1,0,19.0,17.0,84648,1103,0.0,0.1720059142434697,0.47658945293247906,0.16362740266140957
740,Chaparral High,1,0,53.0,29.0,89574,13081,0.016183362624487406,0.2168643819566491,0.31766256590509667,0.12082601054481547
741,Great Oak High,1,0,107.0,54.0,108412,24962,0.008350846145337905,0.19555358920473398,0.3565977214909855,0.12771448586070863
742,Temecula Valley High,1,0,70.0,40.0,108412,24962,0.008350846145337905,0.19555358920473398,0.3565977214909855,0.12771448586070863
743,Temple City High,1,0,59.0,35.0,83029,11184,0.03950597417226536,0.23466226817395502,0.36689866033712837,0.12990304541980127
744,Templeton High,1,0,18.0,11.0,99989,3571,0.0025787965616045844,0.19183381088825216,0.34627507163323784,0.14383954154727793
745,Coachella Valley High,1,0,18.0,4.0,26132,5694,0.05203597049610993,0.28382338082247144,0.060927553804183084,0.012630089926240274
746,Desert Mirage High,1,0,26.0,14.0,26132,5694,0.05203597049610993,0.28382338082247144,0.060927553804183084,0.012630089926240274
747,Thousand Oaks High,1,0,45.0,21.0,94149,15290,0.005131817267055746,0.1682095659757161,0.4047091970215335,0.16626417119474074
748,North High,1,0,21.0,8.0,92636,11413,0.018817089338408245,0.20241200872428688,0.4181242783218578,0.11491254330068854
749,South High,1,0,69.0,28.0,95113,13838,0.006673909669408661,0.14333385069067206,0.443388173211237,0.20134254229396245
750,Torrance High,1,0,22.0,13.0,75388,14140,0.01979783896828163,0.23370512373649355,0.3324851864761241,0.10296270477518299
751,West High,1,0,71.0,38.0,97688,16577,0.010855605161763806,0.17607485780686197,0.4307076019815302,0.20359611032964345
752,Delta Charter,1,1,5.0,3.0,92721,4147,0.031545127056761754,0.3269399279524876,0.20738000194723005,0.04537046051991043
753,John C. Kimball High,1,0,39.0,23.0,119614,8861,0.03321355734680004,0.2236088181023599,0.3010585607458483,0.07089443527240943
754,Merrill F. West High,1,0,44.0,17.0,84670,16916,0.030712672957795402,0.3513865570543623,0.23652521275979854,0.04388351762866902
755,Millennium Charter,1,1,16.0,8.0,84670,16916,0.030712672957795402,0.3513865570543623,0.23652521275979854,0.04388351762866902
756,Tracy High,1,0,40.0,26.0,84670,16916,0.030712672957795402,0.3513865570543623,0.23652521275979854,0.04388351762866902
757,Tranquillity High,1,0,15.0,10.0,50063,309,0.03894297635605007,0.36300417246175243,0.17524339360222532,0.0
758,Mission Oak High,1,0,12.0,10.0,55269,21459,0.035200853354020706,0.35404494654415863,0.15745836262697277,0.03076438216684041
759,Tulare Western High,1,0,21.0,11.0,55269,21459,0.035200853354020706,0.35404494654415863,0.15745836262697277,0.03076438216684041
760,John H. Pitman High,1,0,34.0,20.0,75333,13215,0.018914242021811745,0.2283391685782124,0.3256469073202141,0.10257958066723007
761,Turlock High,1,0,50.0,32.0,48137,15269,0.03268258988621078,0.33107936161704293,0.15865052532082743,0.05653106481986404
762,Tustin High,1,0,40.0,25.0,75626,18873,0.045048927647923745,0.2393905592455509,0.31719312477817774,0.11608274603255082
763,Ukiah High,1,0,6.0,4.0,56556,11282,0.016494747349907305,0.30346532300232926,0.2165232685268812,0.08903360745353425
764,Ukiah High,1,0,29.0,18.0,56556,11282,0.016494747349907305,0.30346532300232926,0.2165232685268812,0.08903360745353425
765,James Logan High,1,0,141.0,82.0,120772,21723,0.03289867425959847,0.25120150891383597,0.32844266308783254,0.14633925170931644
766,Upland High,1,0,36.0,24.0,65542,18826,0.018026565464895637,0.2840718830226588,0.2635617814488224,0.09557428284406742
767,Buckingham Collegiate Charter Academy,1,1,8.0,4.0,98579,13703,0.016977019844759682,0.22528964172370283,0.3073452376400413,0.1001032386341911
768,Vacaville High,1,0,22.0,16.0,98579,13703,0.016977019844759682,0.22528964172370283,0.3073452376400413,0.1001032386341911
769,Will C. Wood High,1,0,15.0,7.0,92653,22193,0.007827589712310663,0.27382332011792215,0.251743417708651,0.07746264104910033
770,Valencia High,1,0,64.0,34.0,95640,11312,0.004876621476640983,0.1528333170779284,0.40168731103091776,0.16112357358821808
771,West Ranch High,1,0,62.0,38.0,134115,6624,0.004017013232514178,0.1260239445494644,0.4560491493383743,0.23030875866414618
772,Jesse M. Bethel High,1,0,15.0,11.0,91380,18612,0.021200974300342994,0.24056767907739723,0.34677138738380475,0.07928617587115375
773,Griffin Academy High,1,1,9.0,6.0,71715,9466,0.031156615882035957,0.3171998236417969,0.23769166707490325,0.053789251947288494
774,CHAMPS - Charter HS of Arts-Multimedia & Performing,1,1,21.0,6.0,49232,18558,0.04270844230568051,0.26040903860236425,0.2557275865676326,0.05675279840987551
775,Ulysses S. Grant Senior High,1,0,13.0,8.0,57493,14772,0.03411558669001751,0.22003502626970228,0.3396847635726795,0.11103327495621716
776,Van Nuys Senior High,1,0,60.0,31.0,61914,9559,0.0364029349866333,0.1788862977077527,0.3184119219612081,0.09453387179341334
777,Buena High,1,0,36.0,19.0,81501,19279,0.007826134380453752,0.19071771378708552,0.34170484293193715,0.15485929319371727
778,El Camino High,1,0,15.0,14.0,80685,8117,0.014843087362171332,0.19399006421907186,0.3362413667757179,0.1774506240155095
779,Foothill Technology High,1,0,41.0,25.0,81501,19279,0.007826134380453752,0.19071771378708552,0.34170484293193715,0.15485929319371727
780,Ventura High,1,0,46.0,27.0,66460,12655,0.02013600635873885,0.2013600635873885,0.34346021372427804,0.10845182372162854
781,Cobalt Institute of Math and Science Academy,1,0,15.0,7.0,61872,15607,0.014524414004841472,0.35280746295093585,0.17441105272480367,0.02698234634232745
782,University Preparatory,1,0,30.0,21.0,61872,15607,0.014524414004841472,0.35280746295093585,0.17441105272480367,0.02698234634232745
783,Villa Park High,1,0,35.0,18.0,164919,1972,0.005283712382265104,0.13944406156673558,0.44888582586721804,0.18263266712611992
784,El Diamante High,1,0,23.0,13.0,65975,18229,0.015524285065819337,0.2656075049175367,0.2694810107429263,0.06530488727492813
785,Golden West High,1,0,3.0,,67433,13561,0.031087687137183014,0.3071723189734189,0.2266651390161931,0.08077451879010082
786,Mt. Whitney High,1,0,10.0,7.0,65975,18229,0.015524285065819337,0.2656075049175367,0.2694810107429263,0.06530488727492813
787,Redwood High,1,0,29.0,20.0,65729,18001,0.04008397480755773,0.2598740377886634,0.22295311406578028,0.07275017494751575
788,University Preparatory High,1,1,7.0,6.0,65975,18229,0.015524285065819337,0.2656075049175367,0.2694810107429263,0.06530488727492813
789,Guajome Park Academy Charter,1,1,8.0,8.0,68551,11550,0.034486990672557685,0.3067828505972836,0.19783996072655866,0.0679103256422844
790,Rancho Buena Vista High,1,0,30.0,17.0,80584,10654,0.011084793936522975,0.19336807200378966,0.34197063003315964,0.11515869256276647
791,Walnut High,1,0,99.0,44.0,105848,13305,0.02388704526955106,0.1735958925552564,0.4496587564961493,0.15690939828439046
792,Acalanes Center for Independent Study,1,0,3.0,,78874,9702,0.003515625,0.09147135416666667,0.44485677083333336,0.2893880208333333
793,Las Lomas High,1,0,96.0,55.0,115938,10256,0.003751685327393165,0.07778885046016765,0.43173691306641654,0.336420657717334
